,Unnamed: 0,time_stamp,region,sell_code,description,Батуми,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Центр,Кутаиси,desc_en
16,16,31-01-2020 13:30:03,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",True,1,нет,Батуми,1 гр,0.0105,6314,2505,214,100.0,,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
17,17,31-01-2020 13:30:03,Batumi,22610cd7c4,курьер в Батуми,True,1,нет,Батуми,1 гр,0.0047,3157,1253,107,50.0,,,kur'er v Batumi
18,18,31-01-2020 13:30:03,Batumi,a5417660bf,Вакансия Курьера в Батуми,True,1,нет,Батуми,3 гр,0.0047,3157,1253,107,50.0,,,Vakansija Kur'era v Batumi
19,19,31-01-2020 13:30:03,Batumi,a5417660bf,Вакансия Курьера в Батуми,True,1,нет,Батуми,5 гр,0.0075,5000,2301,170,,,,Vakansija Kur'era v Batumi
20,20,31-01-2020 13:30:03,Batumi,ce6827deee,Ищу курьера в Грузии!,True,1,нет,Батуми,50 гр,0.0236,15785,6263,534,250.0,,,Ischu kur'era v Gruzii!
21,21,31-01-2020 13:30:03,Batumi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Батуми,400 гр,1.5732,947078,375750,32066,15000.0,,,Vakansija optovogo kur'era na mef
22,22,31-01-2020 13:30:03,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",True,нет,2,Батуми,1000 гр,0.052000000000000005,31569,12525,1069,500.0,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
23,23,31-01-2020 13:31:51,Kutaisi,d4df7908c3,"Шишки/weed OG Kush, (удобные клады в подъездах в центре) 1гр.",,нет,4,Кутаиси,1 гр,0.0039,2336,927,79,37.0,,True,"Shishki/weed OG Kush, (udobnye klady v pod'ezdah v tsentre) 1gr."
24,24,31-01-2020 13:31:51,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 3g",,нет,3,Кутаиси,3 гр,0.011000000000000001,6630,2630,224,105.0,,True,"Shishki/Weeds OG Kush, 3g"
25,25,31-01-2020 13:31:51,Kutaisi,d4df7908c3,"Шишки/Weeds OG Kush, 5g",,нет,3,Кутаиси,5 гр,0.0168,10102,4008,342,160.0,,True,"Shishki/Weeds OG Kush, 5g"
26,26,31-01-2020 13:31:51,Kutaisi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Кутаиси,1 гр,0.0105,6314,2505,214,100.0,,True,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
