,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Дигоми,Didube,Tbilisis Zgva,Old Tbilisi (Старый город),Авлобари,€,Vake,Varketili,Батуми,Центр,desc_en
26,26,09-08-2020 14:53:20,Tbilisi,4659482266,1 г.Super Skunk top class buds! (подезд),,2,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,True,True,,,,,,,,,,1 g.Super Skunk top class buds! (podezd)
27,27,09-08-2020 14:53:20,Tbilisi,21de5577be,1.0 gr. Afghan kush 100% Natural (Indika),,1,нет,Тбилиси,1 гр,0.0045,3903,1477,130,53.0,True,,,,,,,,,,,,1.0 gr. Afghan kush 100% Natural (Indika)
28,28,09-08-2020 14:53:20,Tbilisi,21de5577be,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa,,1,нет,Тбилиси,1 гр,0.0045,3903,1477,130,53.0,True,,,,,,,,,,,,1.0 gr. Amnesia Haze 100% Natural/ IMPORT / Sativa
29,29,09-08-2020 14:53:20,Tbilisi,8ddca45a78,1G 🍇 GRAPE APE,True,4,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,,1G 🍇 GRAPE APE
30,30,09-08-2020 14:53:20,Tbilisi,8ddca45a78,1G 👨🏻WHITE RUSSIAN (hybrid < indica),True,3,нет,Тбилиси,1 гр,0.0041,3535,1337,118,48.0,,,,,,,,,,,,,1G 👨🏻WHITE RUSSIAN (hybrid < indica)
31,31,09-08-2020 14:53:20,Tbilisi,cb721d4bca,"1GR GORILLA GLUE AUTO Шишки ,Оплата BITCOIN -10% Скидка",True,3,нет,Тбилиси,1 гр,0.0051,4418,1672,147,60.0,,,,,,,,,,,,,"1GR GORILLA GLUE AUTO Shishki ,Oplata BITCOIN -10% Skidka"
32,32,09-08-2020 14:53:20,Tbilisi,0dec0e1c48,1gr HYBRID o.g,True,36,нет,Тбилиси,1 гр,0.0042,3608,1365,120,49.0,,,,,,,,,,,,,1gr HYBRID o.g
33,33,09-08-2020 14:53:20,Tbilisi,e56bb6ca93,1gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,16,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,,,,,,,,,,,,,1gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
34,34,09-08-2020 14:53:20,Tbilisi,e56bb6ca93,1гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),True,6,нет,Тбилиси,1 гр,0.0042,3608,1365,120,49.0,,,,,,,,,,,,,1gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
35,35,09-08-2020 14:53:20,Tbilisi,f25c0d6c5c,Auto Amnesia Haze 1 gr,True,13,нет,Тбилиси,1 гр,0.0034,3000,1380,100,,,,,,,,,,,,,,Auto Amnesia Haze 1 gr
36,36,09-08-2020 14:54:30,Tbilisi,e771f4c371,CLOWNBARON ШИШКИ* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE,,6,нет,Тбилиси,1 гр,0.0049,4197,1588,140,57.0,True,,,,,,,,,,,,CLOWNBARON ShIShKI* 1G *VHQ*♤THC 28%♤ SPECIAL PRICE
37,37,09-08-2020 14:54:30,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 1 гр",,1,нет,Тбилиси,1 гр,0.0043,4050,1532,135,55.0,,,,True,,,,,,,,,"Gorilla Breath - photoperiod, feminised 1 gr"
38,38,09-08-2020 14:54:30,Tbilisi,ae784bef73,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G,True,4,нет,Тбилиси,1 гр,0.0046,3976,1504,132,54.0,,,,,,,,,,,,,NEW ! Super Critical ! NEW ! HQ BUDS ! 1G
39,39,09-08-2020 14:54:30,Tbilisi,ae784bef73,NEW * Green Gelato * NEW * BUDS ! 1G VHQ,True,4,нет,Тбилиси,1 гр,0.005,4271,1616,142,58.0,,,,,,,,,,,,,NEW * Green Gelato * NEW * BUDS ! 1G VHQ
40,40,09-08-2020 14:54:30,Tbilisi,ae784bef73,NEW * Royal Moby * NEW ! HQ BUDS 1G,True,5,нет,Тбилиси,1 гр,0.0047,4050,1532,135,55.0,,,,,,,,,,,,,NEW * Royal Moby * NEW ! HQ BUDS 1G
41,41,09-08-2020 14:54:30,Tbilisi,ccc85b93d8,VHQ Hybrid MJ Buds 1G,True,1,нет,Тбилиси,1 гр,0.0043,3682,1393,122,50.0,,,,,,,,,,,,,VHQ Hybrid MJ Buds 1G
42,42,09-08-2020 14:54:30,Tbilisi,0cd3c52bb8,White Russian - сорт чемпион ! Накуривает мощно.На магните.Вес всегда больше 1 грамма.,True,1,нет,Тбилиси,1 гр,0.0043,4050,1532,135,55.0,,,,,,,,,,,,,White Russian - sort chempion ! Nakurivaet moschno.Na magnite.Ves vsegda bol'she 1 gramma.
43,43,09-08-2020 14:54:30,Tbilisi,67187efef3,АКЦИЯ-1g hindu kish best buds BTC 5% sale,True,2,нет,Тбилиси,1 гр,0.0037,3314,1254,110,45.0,,,,,,,,,,,,,AKTsIJa-1g hindu kish best buds BTC 5% sale
44,44,09-08-2020 14:54:30,Tbilisi,fccfd69694,Бошки OG Kush 1g.,True,4,нет,Тбилиси,1 гр,0.0039,3314,1254,110,45.0,,,,,,,,,,,,,Boshki OG Kush 1g.
45,45,09-08-2020 14:54:30,Tbilisi,67187efef3,1.2гр перемолотые шишки btc 5% sale,True,2,нет,Тбилиси,1.2 гр,0.0032,2872,1087,95,39.0,,,,,,,,,,,,,1.2gr peremolotye shishki btc 5% sale
46,46,09-08-2020 14:54:30,Tbilisi,366326d4d6,!!!NEW!!! 2G Jack Herer !!!NEW!!!,True,7,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,,!!!NEW!!! 2G Jack Herer !!!NEW!!!
47,47,09-08-2020 14:54:30,Tbilisi,7c395c455d,2 marijuana BUDS northen lights 24% THC ШИШКИ!!!,True,1,нет,Тбилиси,2 гр,0.0103,8837,3343,294,120.0,,,,,,,,,,,,,2 marijuana BUDS northen lights 24% THC ShIShKI!!!
48,48,09-08-2020 14:54:30,Tbilisi,69672fee0d,2 г SOUR DIESEL марихуана шишки топ качество тгк 28%,True,5,нет,Тбилиси,2 гр,0.0085,7364,2786,245,100.0,,,,,,,,,,,,,2 g SOUR DIESEL marihuana shishki top kachestvo tgk 28%
49,49,09-08-2020 14:54:30,Tbilisi,64284550d9,2G ---> Big Devil (BTC - Sale),True,3,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,,2G ---> Big Devil (BTC - Sale)
50,50,09-08-2020 14:54:30,Tbilisi,0dec0e1c48,2gr HYBRID buds,True,5,нет,Тбилиси,2 гр,0.0075,6480,2452,215,88.0,,,,,,,,,,,,,2gr HYBRID buds
51,51,09-08-2020 14:54:30,Tbilisi,e56bb6ca93,2gr ☘NEW☘ Gorilla Cookies☘ (КЛАДИ НА МАГНИТАХ),True,5,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,True,,,,,,,,,,2gr ☘NEW☘ Gorilla Cookies☘ (KLADI NA MAGNITAH)
52,52,09-08-2020 14:54:30,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 2гр",True,2,нет,Тбилиси,2 гр,0.0085,8100,3065,269,110.0,,,True,,,,,,,,,,"Hindu Kush (photoperiod, regular) 2gr"
53,53,09-08-2020 14:54:30,Tbilisi,366326d4d6,NEW !!! 2G OG KusH !!! NEW,True,9,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,,NEW !!! 2G OG KusH !!! NEW
54,54,09-08-2020 14:54:30,Tbilisi,366326d4d6,NEW !!! 2G White Widow !!! NEW,True,6,нет,Тбилиси,2 гр,0.0085,7290,2758,242,99.0,,,,,,,,,,,,,NEW !!! 2G White Widow !!! NEW
55,55,09-08-2020 14:54:30,Tbilisi,7918572a66,TYson Budds 2G Скидка 5%,True,2,нет,Тбилиси,2 гр,0.0062,5891,2229,196,80.0,,,,,,,,,,,,,TYson Budds 2G Skidka 5%
56,56,09-08-2020 14:54:30,Tbilisi,fccfd69694,Бошки OG Kush 2g.,True,4,нет,Тбилиси,2 гр,0.0069,5891,2229,196,80.0,,,,,,,,,,,,,Boshki OG Kush 2g.
57,57,09-08-2020 14:54:30,Tbilisi,4659482266,Marijuana Super Skunk leaves 3g plan (подезд),,4,нет,Тбилиси,3 гр,0.0021,1767,669,59,24.0,,True,,,,,,,,,,,Marijuana Super Skunk leaves 3g plan (podezd)
58,58,09-08-2020 14:54:30,Tbilisi,7f1273da70,Northern Lights Regular [budsonly] 3gramm,True,3,нет,Тбилиси,3 гр,0.006999999999999999,6627,2507,220,90.0,,,,,,,,,,,,,Northern Lights Regular [budsonly] 3gramm
59,59,09-08-2020 14:54:30,Tbilisi,366326d4d6,!!!NEW!!! 5G Critical KusH !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0146,12445,4708,414,169.0,,,,,,,,,,,,,!!!NEW!!! 5G Critical KusH !!!NEW!!!
60,60,09-08-2020 14:54:30,Tbilisi,366326d4d6,!!!NEW!!! 5G Jack Herer !!!NEW!!!,True,2,нет,Тбилиси,5 гр,0.0146,12445,4708,414,169.0,,,,,,,,,,,,,!!!NEW!!! 5G Jack Herer !!!NEW!!!
61,61,09-08-2020 14:54:30,Tbilisi,3c9bc6f8e9,"Amnesia Haze (photoperiod, regular) 5 гр. Спокойно, Надёжно, Качественно.",,1,нет,Тбилиси,5 гр,0.0187,17673,6686,588,240.0,,,,,True,,,,,,,,"Amnesia Haze (photoperiod, regular) 5 gr. Spokojno, Nadezhno, Kachestvenno."
62,62,09-08-2020 14:54:30,Tbilisi,3c9bc6f8e9,"Gorilla Breath - photoperiod, feminised 5гр",True,1,2,Тбилиси,5 гр,0.0187,17673,6686,588,240.0,,,,,True,,,,,,,,"Gorilla Breath - photoperiod, feminised 5gr"
63,63,09-08-2020 14:54:30,Tbilisi,7bd1a5deba,15 + GRAMM NEW BEASTWEED,True,1,нет,Тбилиси,15 гр,0.0162,15390,5823,512,209.0,,,,,,,,,,,,,15 + GRAMM NEW BEASTWEED
64,64,09-08-2020 14:54:30,Tbilisi,89f7212915,5 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,нет,10,Тбилиси,5 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,,5 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
65,65,09-08-2020 14:54:30,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,6,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
66,66,09-08-2020 14:54:30,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.0235,20250,7662,673,275.0,,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
67,67,09-08-2020 14:54:30,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0205,17673,6686,588,240.0,,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
68,68,09-08-2020 14:54:30,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,6,Тбилиси,5 гр,0.0239,20619,7801,686,280.0,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
69,69,09-08-2020 14:54:30,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
70,70,09-08-2020 14:54:30,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.017,16127,6101,536,219.0,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
71,71,09-08-2020 14:55:34,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,3,Тбилиси,5 гр,0.0231,19882,7522,661,270.0,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
72,72,09-08-2020 14:55:34,Tbilisi,f374062dcd,Очень мощный Сирец Иран 5гр,True,нет,2,Тбилиси,5 гр,0.0807,81001,30646,2693,1100.0,,,,,,,,,,,,,Ochen' moschnyj Sirets Iran 5gr
73,73,09-08-2020 14:55:34,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2005,190000,87429,6317,,,,,,,,,,,,,,reagent 25i nbome. 5gr
74,74,09-08-2020 14:55:34,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2332,220913,83580,7345,3000.0,,,,,,True,True,,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
75,75,09-08-2020 14:55:34,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.047,40501,15323,1347,550.0,,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
76,76,09-08-2020 14:55:34,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0598,51546,19502,1714,700.0,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
77,77,09-08-2020 14:55:34,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0359,30928,11701,1028,420.0,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
78,78,09-08-2020 14:55:34,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0684,58910,22288,1959,800.0,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
79,79,09-08-2020 14:55:34,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,1,Тбилиси,10 гр,0.0359,30928,11701,1028,420.0,,,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
80,80,09-08-2020 14:55:34,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,3,Тбилиси,11 гр,0.0398,33997,12792,1130,,,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
81,81,09-08-2020 14:55:34,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",True,нет,1,Тбилиси,15 гр,0.0505,47864,18109,1591,650.0,,,,,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
82,82,09-08-2020 14:55:34,Tbilisi,f374062dcd,Сирец мощный Иран 50гр,True,нет,1,Тбилиси,50 гр,0.7769,697378,262400,23177,,,,,,,,,8000.0,,,,,Sirets moschnyj Iran 50gr
83,83,09-08-2020 14:55:34,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2052,176730,66864,5876,2400.0,,,,,,,,,,,,,100 gr marijuana buds
84,84,09-08-2020 14:55:34,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2137,184094,69650,6121,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
85,85,09-08-2020 14:55:34,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.5044,434462,164374,14444,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
86,86,09-08-2020 14:55:34,Tbilisi,9610a68a0a,GABAGAMA 250 shtuk,,нет,4,Тбилиси,250 гр,0.0209,18000,8283,598,,,,,True,,,,,,,,,GABAGAMA 250 shtuk
87,87,09-08-2020 14:55:34,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.7267,625920,236810,20810,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
88,88,09-08-2020 14:55:34,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,,1,нет,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,True,,,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
89,89,09-08-2020 14:55:34,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,1,нет,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
90,90,09-08-2020 14:55:34,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,True,1,нет,Тбилиси,5 гр,0.0466,44183,16716,1469,600.0,,,,,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
91,91,09-08-2020 14:55:34,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,1,Тбилиси,1 гр,0.0171,14728,5572,490,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
92,92,09-08-2020 14:55:34,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,2,Тбилиси,1 гр,0.0214,18409,6965,612,250.0,,,,,,,,,,,,,Rabota na marki (kur'er)
93,93,09-08-2020 14:55:34,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,True,нет,1,Тбилиси,5 гр,0.0427,36819,13930,1224,500.0,,,,,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
94,94,09-08-2020 14:55:34,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,True,нет,1,Тбилиси,10 гр,0.0427,36819,13930,1224,500.0,,,,,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
95,95,09-08-2020 14:55:34,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.294,1104564,417900,36723,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,09-08-2020 14:55:34,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0427,36819,13930,1224,500.0,,,,,,True,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
97,97,09-08-2020 14:57:39,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,4,Батуми,10 гр,0.0407,34782,13087,1156,,,,,,,,,399.0,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
98,98,09-08-2020 14:57:39,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,3,Батуми,11 гр,0.0398,33997,12792,1130,,,,,,,,,390.0,,,True,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
99,99,09-08-2020 14:57:39,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0194,18409,6965,612,250.0,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
