,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Дигоми,€,Varketili,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,Кутаиси,desc_en
40,40,10-02-2020 21:15:11,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.038,25508,9880,870,400.0,,,,,,,,,,,gashish evro 10g
41,41,10-02-2020 21:15:11,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,10,нет,Тбилиси,10 гр,0.009000000000000001,6377,2470,218,100.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
42,42,10-02-2020 21:15:11,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.0911,116324,45065,3975,,,,,1666.0,,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
43,43,10-02-2020 21:15:11,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0059,4209,1630,144,66.0,,,,,,,,,,,weed leaves 13gr +
44,44,10-02-2020 21:15:11,Tbilisi,436325081c,georgian weed 15 gr salee !!!,True,1,нет,Тбилиси,15 гр,0.0123,8737,3384,298,137.0,,,,,,,,,,,georgian weed 15 gr salee !!!
45,45,10-02-2020 21:15:11,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0737,49550,19192,1691,777.0,,,,,,,,,,,Gashish Evro 20gr
46,46,10-02-2020 21:15:11,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1518,193897,75118,6625,,,,,2777.0,,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
47,47,10-02-2020 21:15:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.025,15943,6175,544,250.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
48,48,10-02-2020 21:15:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.035,22320,8645,762,350.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
49,49,10-02-2020 21:15:11,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0599,38262,14820,1306,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
50,50,10-02-2020 21:15:11,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0218,14030,5434,479,220.0,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
51,51,10-02-2020 21:15:11,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0395,25508,9880,870,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
52,52,10-02-2020 21:15:11,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,9,Тбилиси,5 гр,0.0237,15305,5928,522,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
53,53,10-02-2020 21:15:11,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
54,54,10-02-2020 21:15:11,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1348,95656,37050,3264,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
55,55,10-02-2020 21:15:11,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
56,56,10-02-2020 21:15:11,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
57,57,10-02-2020 21:15:11,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0197,12690,4915,433,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
58,58,10-02-2020 21:15:11,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
59,59,10-02-2020 21:15:11,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0197,13966,5409,477,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
60,60,10-02-2020 21:15:11,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13328,5162,455,209.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
61,61,10-02-2020 21:15:11,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.0188,13328,5162,455,209.0,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
62,62,10-02-2020 21:15:11,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.0188,13328,5162,455,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
63,63,10-02-2020 21:15:11,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
64,64,10-02-2020 21:16:20,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.018000000000000002,12754,4940,435,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
65,65,10-02-2020 21:16:20,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1971,140000,64421,4798,,,,,,,,,,,,reagent 25i nbome. 5gr
66,66,10-02-2020 21:16:20,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2694,191312,74100,6529,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
67,67,10-02-2020 21:16:20,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0488,31184,12078,1064,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
68,68,10-02-2020 21:16:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.018000000000000002,11479,4446,392,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
69,69,10-02-2020 21:16:20,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0394,25445,9855,868,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,70,10-02-2020 21:16:20,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1796,127542,49400,4352,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
71,71,10-02-2020 21:16:20,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.079,51017,19760,1741,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,10-02-2020 21:16:20,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0358,25445,9855,868,399.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
73,73,10-02-2020 21:16:20,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2197,141890,54958,4842,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
74,74,10-02-2020 21:16:20,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0806,51527,19958,1758,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
75,75,10-02-2020 21:16:20,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0298,19067,7385,651,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
76,76,10-02-2020 21:16:20,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,нет,2,Тбилиси,11 гр,0.0148,9566,3705,326,150.0,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
77,77,10-02-2020 21:16:20,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.0449,28697,11115,979,450.0,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
78,78,10-02-2020 21:16:20,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2963,210444,81510,7181,3300.0,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
79,79,10-02-2020 21:16:20,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0569,38262,14820,1306,600.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
80,80,10-02-2020 21:16:20,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1077,76525,29640,2611,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
81,81,10-02-2020 21:16:20,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0853,57394,22230,1959,900.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
82,82,10-02-2020 21:16:20,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.0938,60582,23465,2067,950.0,,,,,,,,,,,Hybrid Skunk! 50 gr
83,83,10-02-2020 21:16:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1975,127542,49400,4352,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
84,84,10-02-2020 21:16:20,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1778,114787,44460,3917,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
85,85,10-02-2020 21:16:20,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2469,159427,61750,5441,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
86,86,10-02-2020 21:16:20,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.0386,27421,10621,936,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
87,87,10-02-2020 21:16:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4543,293346,113620,10011,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
88,88,10-02-2020 21:16:20,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7407,478281,185250,16322,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
89,89,10-02-2020 21:16:20,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8395,542052,209950,18498,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
90,90,10-02-2020 21:16:20,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12754,4940,435,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
91,91,10-02-2020 21:16:20,Tbilisi,8528108b62,Требуется Курьер,True,1,нет,Тбилиси,1 гр,0.018000000000000002,12754,4940,435,200.0,,,,,,,,,,,Trebuetsja Kur'er
92,92,10-02-2020 21:16:20,Tbilisi,16dfc5477e,Требуется сотрудник,True,1,нет,Тбилиси,1 гр,0.0198,12754,4940,435,200.0,,,,,,,,,,,Trebuetsja sotrudnik
93,93,10-02-2020 21:16:20,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0198,12754,4940,435,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
94,94,10-02-2020 21:16:20,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0247,15943,6175,544,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
95,95,10-02-2020 21:16:20,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.4949,956562,370500,32643,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
96,96,10-02-2020 21:18:22,Batumi,d4df7908c3,"Шишки / weeds OGKZ, 2г",,1,нет,Батуми,2 гр,0.0099,6313,2445,215,99.0,,,,,,,,True,,,"Shishki / weeds OGKZ, 2g"
97,97,10-02-2020 21:18:22,Batumi,f8a875c191,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE ),,3,10,Батуми,0.27 гр,0.0226,14476,5607,494,227.0,,,,,,,,,True,,METADON - VHQ - (KRISTAL) - 0.27 G ( SALE - SALE - SALE )
98,98,10-02-2020 21:18:22,Batumi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),,нет,19,Батуми,5 гр,0.018000000000000002,12754,4940,435,200.0,,,,,,,,,True,,Metamfetamin ratsemat 5 g. (MQ)
99,99,10-02-2020 21:18:22,Batumi,30f48d507d,Hybrid Skunk! 50 gr,,нет,2,Батуми,50 гр,0.0938,60582,23465,2067,950.0,,,,,,,,,True,,Hybrid Skunk! 50 gr
100,100,10-02-2020 21:18:22,Batumi,30f48d507d,Hybrid Skunk! 100 gr,,нет,1,Батуми,100 гр,0.1778,114787,44460,3917,1800.0,,,,,,,,,True,,Hybrid Skunk! 100 gr
101,101,10-02-2020 21:18:22,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2993,191312,74100,6529,3000.0,,,,,,,,,True,,SUBOXIN - HQ - 100 G.
102,102,10-02-2020 21:18:22,Batumi,f8a875c191,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC,,нет,5,Батуми,150 гр,0.2494,159427,61750,5441,2500.0,,,,,,,,,True,,MARIXYANA - 150 G. (SHISHKI) SALE 10% BTC
103,103,10-02-2020 21:18:22,Batumi,d4df7908c3,"Приходите к нам работать вторым кладменом (кладчик, курьер)",,1,нет,Батуми,1 гр,0.01,6377,2470,218,100.0,,,,,,,,,True,,"Prihodite k nam rabotat' vtorym kladmenom (kladchik, kur'er)"
104,104,10-02-2020 21:18:22,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0045,3189,1235,109,50.0,,,,,,,,,True,,kur'er v Batumi
