,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Тбилиси,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
10,10,25-05-2020 17:28:37,Tbilisi,c225d2f67d,Гашиш Евро 10гр,,1,нет,Тбилиси,10 гр,0.0482,32218,12173,1079,450.0,,True,,,,,,,,,Gashish Evro 10gr
11,11,25-05-2020 17:28:37,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,,2,11,Тбилиси,20 гр,0.044000000000000004,28567,10793,957,399.0,,True,True,,,,,,,,20 gr georgian weed. Package on magnet
12,12,25-05-2020 17:28:37,Tbilisi,c225d2f67d,Гашиш Евро 20гр,,1,нет,Тбилиси,20 гр,0.0823,55630,21018,1864,777.0,,True,,,,,,,,,Gashish Evro 20gr
13,13,25-05-2020 17:28:37,Tbilisi,9610a68a0a,GABAGAMA 50 SHTUK,,2,нет,Тбилиси,50 гр,0.008,5728,2164,192,80.0,,True,,,,,,,,,GABAGAMA 50 SHTUK
14,14,25-05-2020 17:28:37,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),,1,нет,Тбилиси,60 гр,0.2007,143192,54100,4797,2000.0,,True,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
15,15,25-05-2020 17:28:37,Tbilisi,9610a68a0a,GABAGAMA 150 shtuk,,1,нет,Тбилиси,150 гр,0.0186,13245,5004,444,185.0,,True,,,,,,,,,GABAGAMA 150 shtuk
16,16,25-05-2020 17:28:37,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,,нет,4,Тбилиси,0.2 гр,0.0108,7009,2651,236,,,True,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
17,17,25-05-2020 17:28:37,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Тбилиси,1 гр,0.036000000000000004,25701,9719,864,,,True,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
18,18,25-05-2020 17:28:37,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,,нет,4,Тбилиси,2 гр,0.0234,15035,5681,504,210.0,,True,,,,,,,,,✨✨2gram. MDMA✨✨
19,19,25-05-2020 17:28:37,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,,нет,8,Тбилиси,2 гр,0.0411,26419,9981,885,369.0,,True,,,,,,,,,❄❄2g HQ COCAINE❄❄
20,20,25-05-2020 17:28:37,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,,нет,7,Тбилиси,3 гр,0.0645,41454,15662,1389,579.0,,True,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
21,21,25-05-2020 17:28:37,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,,нет,7,Тбилиси,4 гр,0.0441,28638,10820,959,400.0,,True,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
22,22,25-05-2020 17:28:37,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,True,нет,2,Тбилиси,4 гр,0.0155,10023,3787,336,140.0,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
23,23,25-05-2020 17:28:37,Tbilisi,89f7212915,"""Kief"" Weed trichomes 5G",,нет,1,Тбилиси,5 гр,0.0607,39378,14878,1319,550.0,,True,,,,,,,,,"""Kief"" Weed trichomes 5G"
24,24,25-05-2020 17:28:37,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,,нет,5,Тбилиси,5 гр,0.0607,39378,14878,1319,550.0,,True,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
25,25,25-05-2020 17:28:37,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",,нет,9,Тбилиси,5 гр,0.0259,16825,6357,564,235.0,,True,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
26,26,25-05-2020 17:28:37,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,,нет,6,Тбилиси,5 гр,0.0265,17183,6492,576,240.0,,True,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
27,27,25-05-2020 17:28:37,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,,нет,8,Тбилиси,5 гр,0.0254,16467,6222,552,230.0,,True,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
28,28,25-05-2020 17:28:37,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,,нет,1,Тбилиси,5 гр,0.0175,11384,4301,381,159.0,,True,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
29,29,25-05-2020 17:28:37,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0265,17183,6492,576,240.0,,True,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
30,30,25-05-2020 17:28:37,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",,нет,9,Тбилиси,5 гр,0.0265,17183,6492,576,240.0,,True,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
31,31,25-05-2020 17:28:37,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,,нет,6,Тбилиси,5 гр,0.0254,16467,6222,552,230.0,,True,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
32,32,25-05-2020 17:28:37,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",,нет,2,Тбилиси,5 гр,0.022000000000000002,15680,5924,525,219.0,,True,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
33,33,25-05-2020 17:28:37,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0259,16825,6357,564,235.0,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
34,34,25-05-2020 17:29:32,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,,нет,4,Тбилиси,5 гр,0.0259,16825,6357,564,235.0,,True,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
35,35,25-05-2020 17:29:32,Tbilisi,794765e142,Марихуана бошки OG KUSH этим все сказано. 5г.,,нет,4,Тбилиси,5 гр,0.0276,17899,6763,600,250.0,,,,True,,,,,,,Marihuana boshki OG KUSH etim vse skazano. 5g.
36,36,25-05-2020 17:29:32,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,,нет,2,Тбилиси,5 гр,0.2663,190000,87429,6351,,,True,,,,,,,,,reagent 25i nbome. 5gr
37,37,25-05-2020 17:29:32,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.301,214789,81150,7196,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
38,38,25-05-2020 17:29:32,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,,нет,8,Тбилиси,5 гр,0.1069,68661,25941,2300,959.0,,True,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
39,39,25-05-2020 17:29:32,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,,нет,10,Тбилиси,5 гр,0.0212,13603,5140,456,190.0,,True,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
40,40,25-05-2020 17:29:32,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,,нет,3,Тбилиси,5 гр,0.0545,35011,13227,1173,489.0,,True,,,,,,,,,💘✨5g. MDMA ✨💘
41,41,25-05-2020 17:29:32,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,,нет,10,Тбилиси,5 гр,0.0211,13532,5112,453,189.0,,True,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
42,42,25-05-2020 17:29:32,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,,нет,1,Тбилиси,10 гр,0.0993,64437,24345,2159,900.0,,True,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
43,43,25-05-2020 17:29:32,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,,нет,10,Тбилиси,10 гр,0.0441,28638,10820,959,400.0,,True,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
44,44,25-05-2020 17:29:32,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,,нет,2,Тбилиси,10 гр,0.0773,50117,18935,1679,700.0,,True,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
45,45,25-05-2020 17:29:32,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",,нет,5,Тбилиси,10 гр,0.0464,30070,11361,1007,420.0,,True,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
46,46,25-05-2020 17:29:32,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,,1,38,Тбилиси,10 гр,0.0149,9665,3652,324,135.0,,True,,,,,,,,,10G Hybrid Marijuana Leafs
47,47,25-05-2020 17:29:32,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,,нет,3,Тбилиси,10 гр,0.0883,57277,21640,1919,800.0,,True,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
48,48,25-05-2020 17:29:32,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,,нет,1,Тбилиси,10 гр,0.2456,159302,60186,5337,2225.0,,True,,,,,,,,,Amfetamin [White] [Import] 10G
49,49,25-05-2020 17:29:32,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,,нет,5,Тбилиси,10 гр,0.1738,111618,42171,3739,1559.0,,True,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
50,50,25-05-2020 17:29:32,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,,нет,10,Тбилиси,10 гр,0.0411,26419,9981,885,369.0,,True,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
51,51,25-05-2020 17:29:32,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,,нет,3,Тбилиси,10 гр,0.0351,22553,8521,756,315.0,,True,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
52,52,25-05-2020 17:29:32,Tbilisi,f8a875c191,METADON - 20 G.,,нет,1,Тбилиси,20 гр,0.5573,357981,135250,11993,5000.0,,True,,,,,,,,,METADON - 20 G.
53,53,25-05-2020 17:29:32,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,,нет,9,Тбилиси,20 гр,0.0668,42886,16203,1437,599.0,,True,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
54,54,25-05-2020 17:29:32,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,,нет,6,Тбилиси,50 гр,0.1434,93003,35138,3116,1299.0,,True,,,,,,,,,50 gr georgian weed. Package on magnet
55,55,25-05-2020 17:29:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,,нет,1,Тбилиси,50 гр,0.1214,78756,29755,2638,1100.0,,True,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
56,56,25-05-2020 17:29:32,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,,нет,5,Тбилиси,100 гр,0.2758,178919,67598,5994,2499.0,,True,,,,,,,,,100 gr georgian weed. Package on magnet
57,57,25-05-2020 17:29:32,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2649,171831,64920,5757,2400.0,,True,,,,,,,,,100 gr marijuana buds
58,58,25-05-2020 17:29:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,,нет,1,Тбилиси,100 гр,0.2207,143192,54100,4797,2000.0,,True,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
59,59,25-05-2020 17:29:32,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2759,178991,67625,5997,2500.0,,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,25-05-2020 17:29:32,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.6512,422418,159595,14152,5900.0,,True,,,,,,,,,180 gr marihuana persoalno
61,61,25-05-2020 17:29:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,,нет,1,Тбилиси,250 гр,0.5077,329343,124430,11034,4600.0,,True,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
62,62,25-05-2020 17:29:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,,нет,1,Тбилиси,500 гр,0.8277,536972,202875,17990,7500.0,,True,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
63,63,25-05-2020 17:29:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.9381,608568,229925,20388,8500.0,,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
64,64,25-05-2020 17:29:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0201,14319,5410,480,200.0,,True,,,,,,,,,KURYER..500RUB.+BONUS
65,65,25-05-2020 17:29:32,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,2,Тбилиси,1 гр,0.0221,14319,5410,480,200.0,,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
66,66,25-05-2020 17:29:32,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,нет,1,Тбилиси,1 гр,0.0276,17899,6763,600,250.0,,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
67,67,25-05-2020 17:29:32,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.6705,1073943,405750,35979,15000.0,,True,,,,,,,,,Vakansija optovogo kur'era na mef
68,68,25-05-2020 17:30:30,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,2,нет,Батуми,0.5 гр,0.0066,4296,1623,144,60.0,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
69,69,25-05-2020 17:30:30,Batumi,3c4662c591,шишки марихуаны 5G,,4,нет,Батуми,5 гр,0.0331,21479,8115,720,300.0,,,,,,,,,True,,shishki marihuany 5G
70,70,25-05-2020 17:30:30,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2428,157512,59510,5277,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
71,71,25-05-2020 17:30:30,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",,нет,3,Батуми,0.5 гр,0.0094,6086,2299,204,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
72,72,25-05-2020 17:30:30,Batumi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",,нет,1,Батуми,1 гр,0.036000000000000004,25701,9719,864,,,,,,330.0,,,True,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
73,73,25-05-2020 17:30:30,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0497,32218,12173,1079,450.0,,,,,,,,True,,,MDMA !! 3 gramma
74,74,25-05-2020 17:30:30,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1742,112990,51992,3777,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
75,75,25-05-2020 17:30:30,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2758,178900,82321,5980,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
76,76,25-05-2020 17:30:30,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7160,2705,240,100.0,,,,,,,,True,,,kur'er v Batumi
77,77,25-05-2020 17:30:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0251,17899,6763,600,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,25-05-2020 17:30:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0251,17899,6763,600,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,25-05-2020 17:30:30,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.012,7788,2945,262,,,,,,100.0,,,True,,,Rabota na marki (kur'er)
80,80,25-05-2020 17:30:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6702,1073943,405750,35979,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
81,81,25-05-2020 17:30:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0552,35798,13525,1199,500.0,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
82,82,25-05-2020 17:31:59,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.053,34724,13119,1163,485.0,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,25-05-2020 17:31:59,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,3 гр,0.0281,18615,7033,624,260.0,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,25-05-2020 17:31:59,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 3.3г бтк скидка 10% !!,,2,нет,Кутаиси,3.3 гр,0.0075,5370,2029,180,75.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 3.3g btk skidka 10% !!
85,85,25-05-2020 17:31:59,Kutaisi,b7446e2cca,Шишки Lemon weed ТГК 25% 5.5г бтк скидка 10% !!,,1,нет,Кутаиси,5.5 гр,0.0115,8234,3111,276,115.0,,,,,,,,,,True,Shishki Lemon weed TGK 25% 5.5g btk skidka 10% !!
86,86,25-05-2020 17:31:59,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.012,7788,2945,262,,,,,,100.0,,,,,True,Rabota na marki (kur'er)
