,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Gldani,Saburtalo,Дигоми,Nadzaladevi,Varketili,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,desc_en
46,46,22-06-2020 19:58:38,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,6,Тбилиси,5 гр,0.027999999999999997,19108,7373,653,275.0,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
47,47,22-06-2020 19:58:38,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0244,16676,6434,570,240.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
48,48,22-06-2020 19:58:38,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,7,Тбилиси,5 гр,0.0285,19455,7507,665,280.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
49,49,22-06-2020 19:58:38,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0275,18761,7239,641,270.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
50,50,22-06-2020 19:58:38,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0203,15217,5871,520,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
51,51,22-06-2020 19:58:38,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (5 Грамм)",True,нет,10,Тбилиси,5 гр,0.0178,12160,4692,416,175.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (5 Gramm)"
52,52,22-06-2020 19:58:38,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0275,18761,7239,641,270.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
53,53,22-06-2020 19:58:38,Tbilisi,54915c4374,Геройн (сирец) 5 гр,True,нет,2,Тбилиси,5 гр,0.1527,104225,40215,3564,1500.0,,,,,,,,,,,Gerojn (sirets) 5 gr
54,54,22-06-2020 19:58:38,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2531,190000,87429,6501,,,,,,,,,,,,reagent 25i nbome. 5gr
55,55,22-06-2020 19:58:38,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2777,208451,80430,7127,3000.0,,,,,,,True,True,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
56,56,22-06-2020 19:58:38,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.0986,66635,25711,2278,959.0,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
57,57,22-06-2020 19:58:38,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,9,Тбилиси,5 гр,0.0195,13202,5094,451,190.0,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
58,58,22-06-2020 19:58:38,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,9,Тбилиси,5 гр,0.0503,33977,13110,1162,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
59,59,22-06-2020 19:58:38,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0916,62535,24129,2138,900.0,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
60,60,22-06-2020 19:58:38,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.055999999999999994,38216,14746,1307,550.0,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
61,61,22-06-2020 19:58:38,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0713,48638,18767,1663,700.0,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
62,62,22-06-2020 19:58:38,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0428,29183,11260,998,420.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
63,63,22-06-2020 19:58:38,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0815,55587,21448,1901,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
64,64,22-06-2020 19:58:38,Tbilisi,54915c4374,"Extazzy ""Gucci"" для стильных людей (10 грамм)",True,нет,10,Тбилиси,10 гр,0.0336,22930,8847,784,330.0,,,,,,,,,,,"Extazzy ""Gucci"" dlja stil'nyh ljudej (10 gramm)"
65,65,22-06-2020 19:58:38,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2265,154601,59652,5286,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
66,66,22-06-2020 19:58:38,Tbilisi,54915c4374,Марки н-боом 10 шт.,True,нет,9,Тбилиси,10 гр,0.0102,6948,2681,238,100.0,,,,,,,,,,,Marki n-boom 10 sht.
67,67,22-06-2020 19:58:38,Tbilisi,54915c4374,Сирец (геройн) очень сильный 10 гр,True,нет,2,Тбилиси,10 гр,0.22399999999999998,152864,58982,5227,2200.0,,,,,,,,,,,Sirets (gerojn) ochen' sil'nyj 10 gr
68,68,22-06-2020 19:58:38,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,9,Тбилиси,10 гр,0.1603,108325,41797,3704,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
69,69,22-06-2020 19:58:38,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,5,Тбилиси,10 гр,0.0811,54822,21153,1874,789.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
70,70,22-06-2020 19:59:15,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,True,нет,1,Тбилиси,11 гр,0.0448,30353,11739,1040,,,,,,,390.0,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
71,71,22-06-2020 19:59:15,Tbilisi,dd631c4acf,✨💘20g MDMA💘✨,True,нет,3,Тбилиси,20 гр,0.1388,104225,40215,3564,1500.0,,,,,,,,,,,✨💘20g MDMA💘✨
72,72,22-06-2020 19:59:15,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0616,41621,16059,1423,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
73,73,22-06-2020 19:59:15,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,50 гр,0.1323,90259,34826,3086,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
74,74,22-06-2020 19:59:15,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,4,Тбилиси,100 гр,0.2544,173639,66998,5937,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
75,75,22-06-2020 19:59:15,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2444,166760,64344,5702,2400.0,,,,,,,,,,,100 gr marijuana buds
76,76,22-06-2020 19:59:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2036,138967,53620,4751,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
77,77,22-06-2020 19:59:15,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2545,173709,67025,5939,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
78,78,22-06-2020 19:59:15,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6007,409953,158179,14017,5900.0,,,,,,,,,,,180 gr marihuana persoalno
79,79,22-06-2020 19:59:15,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,4,Тбилиси,200 гр,0.4367,295305,113943,10097,4250.0,,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
80,80,22-06-2020 19:59:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4684,319624,123326,10928,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
81,81,22-06-2020 19:59:15,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7636,521126,201075,17818,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
82,82,22-06-2020 19:59:15,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8655,590610,227885,20193,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
83,83,22-06-2020 19:59:15,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0185,13897,5362,475,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
84,84,22-06-2020 19:59:15,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,3,Тбилиси,1 гр,0.0255,17371,6703,594,250.0,,,,,,,,,,,Rabota na marki (kur'er)
85,85,22-06-2020 19:59:15,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5411,1042253,402150,35636,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
86,86,22-06-2020 20:01:16,Batumi,be97026d1d,!! БАТУМИ!! !!! Iranian Sirec 0.25g !!! Героин(сырец) Олдовый(Лучшее качество) !!! BTC SALE 5%!!!! SALE !!!! !! БАТУМИ !!,,9,нет,Батуми,0.25 гр,0.0133,9262,3582,317,,,,,,,119.0,,,True,,!! BATUMI!! !!! Iranian Sirec 0.25g !!! Geroin(syrets) Oldovyj(Luchshee kachestvo) !!! BTC SALE 5%!!!! SALE !!!! !! BATUMI !!
87,87,22-06-2020 20:01:16,Batumi,54915c4374,Геройн (сирец) 5 гр,,нет,2,Батуми,5 гр,0.1527,104225,40215,3564,1500.0,,,,,,,,,True,,Gerojn (sirets) 5 gr
88,88,22-06-2020 20:01:16,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,2,Батуми,10 гр,0.0428,29183,11260,998,420.0,,,,,,,,,True,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
89,89,22-06-2020 20:01:16,Batumi,54915c4374,Сирец (геройн) очень сильный 10 гр,,нет,2,Батуми,10 гр,0.22399999999999998,152864,58982,5227,2200.0,,,,,,,,,True,,Sirets (gerojn) ochen' sil'nyj 10 gr
90,90,22-06-2020 20:01:16,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1656,112990,51992,3866,,,,,,,,,,True,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
91,91,22-06-2020 20:01:16,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2622,178900,82321,6121,,,,,,,,,,True,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
92,92,22-06-2020 20:01:16,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0093,6948,2681,238,100.0,,,,,,,,,True,,kur'er v Batumi
93,93,22-06-2020 20:01:16,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0231,17371,6703,594,250.0,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
94,94,22-06-2020 20:01:16,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0231,17371,6703,594,250.0,,,,,,,,,True,,Ischu kur'era v Gruzii!
95,95,22-06-2020 20:01:16,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,2,Батуми,1 гр,0.0204,13897,5362,475,200.0,,,,,,,,,True,,Kur'er Batumi na marihuanu
96,96,22-06-2020 20:01:16,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5411,1042253,402150,35636,15000.0,,,,,,,,,True,,Vakansija optovogo kur'era na mef
97,97,22-06-2020 20:01:16,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0509,34742,13405,1188,500.0,,,,,,,,,True,True,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
