,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Vake,Didube,Gldani,Nadzaladevi,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
25,25,21-05-2020 21:02:09,Tbilisi,9610a68a0a,GABAGAMA 10 SHTUK,True,2,нет,Тбилиси,10 гр,0.0014,1064,404,36,15.0,,,,,,,,,,,,GABAGAMA 10 SHTUK
26,26,21-05-2020 21:02:09,Tbilisi,c225d2f67d,Гашиш Евро 10гр,True,1,нет,Тбилиси,10 гр,0.0463,31916,12132,1084,450.0,,,,,,,,,,,,Gashish Evro 10gr
27,27,21-05-2020 21:02:09,Tbilisi,21e6be39fb,"Отсев шышек от AKA-47, GAGARINA и BANANA KUSHA с листьями 15г",True,7,нет,Тбилиси,15 гр,0.0159,10639,4044,361,150.0,,,,,,,,,,,,"Otsev shyshek ot AKA-47, GAGARINA i BANANA KUSHA s list'jami 15g"
28,28,21-05-2020 21:02:09,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0791,55108,20948,1872,777.0,,,,,,,,,,,,Gashish Evro 20gr
29,29,21-05-2020 21:02:09,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1929,141848,53920,4817,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
30,30,21-05-2020 21:02:09,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.2 гр.,True,нет,9,Тбилиси,0.2 гр,0.0105,7002,2664,237,,,,,,,90.0,,,,,,Buprenorfin (analog suboteksa) 0.2 gr.
31,31,21-05-2020 21:02:09,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.017,11348,4314,385,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
32,32,21-05-2020 21:02:09,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,1,Тбилиси,2 гр,0.0395,26171,9948,889,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,21-05-2020 21:02:09,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.062,41065,15610,1395,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,21-05-2020 21:02:59,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0424,28370,10784,963,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,21-05-2020 21:02:59,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,1,2,Тбилиси,4 гр,0.0149,9929,3774,337,140.0,True,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
36,36,21-05-2020 21:02:59,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0583,39008,14828,1325,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,21-05-2020 21:02:59,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0249,16667,6336,566,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,21-05-2020 21:02:59,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,6,Тбилиси,5 гр,0.0255,17022,6470,578,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,21-05-2020 21:02:59,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,9,Тбилиси,5 гр,0.0244,16313,6201,554,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,21-05-2020 21:02:59,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,2,Тбилиси,5 гр,0.0169,11277,4287,383,159.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,41,21-05-2020 21:02:59,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,17022,6470,578,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,21-05-2020 21:02:59,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0255,17022,6470,578,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,21-05-2020 21:02:59,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0244,16313,6201,554,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,21-05-2020 21:02:59,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0211,15532,5904,528,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,21-05-2020 21:02:59,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0249,16667,6336,566,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,21-05-2020 21:02:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.017,11348,4314,385,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
47,47,21-05-2020 21:02:59,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2583,190000,87429,6331,,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,21-05-2020 21:02:59,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2893,212772,80880,7226,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,21-05-2020 21:02:59,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,8,Тбилиси,5 гр,0.1027,68016,25855,2310,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,21-05-2020 21:02:59,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,3,Тбилиси,5 гр,0.0204,13476,5122,458,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,51,21-05-2020 21:02:59,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,4,Тбилиси,5 гр,0.0524,34682,13183,1178,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
52,52,21-05-2020 21:02:59,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0955,63832,24264,2168,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
53,53,21-05-2020 21:02:59,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0424,28370,10784,963,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
54,54,21-05-2020 21:02:59,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0743,49647,18872,1686,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
55,55,21-05-2020 21:02:59,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0446,29788,11323,1012,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
56,56,21-05-2020 21:02:59,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0849,56739,21568,1927,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
57,57,21-05-2020 21:02:59,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0308,20568,7818,699,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
58,58,21-05-2020 21:02:59,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.23600000000000002,157806,59986,5359,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
59,59,21-05-2020 21:02:59,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.16699999999999998,110571,42031,3755,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
60,60,21-05-2020 21:02:59,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0395,26171,9948,889,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
61,61,21-05-2020 21:02:59,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,3,Тбилиси,10 гр,0.0337,22341,8492,759,315.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
62,62,21-05-2020 21:02:59,Tbilisi,0dec0e1c48,20 gr georgian weed. Package on magnet,True,нет,11,Тбилиси,20 гр,0.0561,37519,14262,1274,529.0,,,,,,,,,,,,20 gr georgian weed. Package on magnet
63,63,21-05-2020 21:02:59,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5357,354620,134800,12044,5000.0,,,,,,,,,,,,METADON - 20 G.
64,64,21-05-2020 21:02:59,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0642,42483,16149,1443,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,21-05-2020 21:02:59,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,7,Тбилиси,50 гр,0.1378,92130,35021,3129,1299.0,,,,,,,,,,,,50 gr georgian weed. Package on magnet
66,66,21-05-2020 21:02:59,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1167,78016,29656,2650,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
67,67,21-05-2020 21:02:59,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2651,177239,67373,6019,2499.0,,,,,,,,,,,,100 gr georgian weed. Package on magnet
68,68,21-05-2020 21:02:59,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2546,170218,64704,5781,2400.0,,,,,,,,,,,,100 gr marijuana buds
69,69,21-05-2020 21:03:27,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2656,177310,67400,6022,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
70,70,21-05-2020 21:03:27,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6269,418452,159064,14211,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
71,71,21-05-2020 21:03:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4887,326250,124016,11080,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
72,72,21-05-2020 21:03:27,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7969,531930,202200,18065,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
73,73,21-05-2020 21:03:27,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9031,602854,229160,20474,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
74,74,21-05-2020 21:03:27,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0193,14185,5392,482,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
75,75,21-05-2020 21:03:27,Tbilisi,e56bb6ca93,"Работа курьером в Тбилиси, ЗП от 4500$ в месяц, залог от 400$",True,1,нет,Тбилиси,1 гр,0.0425,28370,10784,963,400.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 4500$ v mesjats, zalog ot 400$"
76,76,21-05-2020 21:03:27,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,14185,5392,482,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,21-05-2020 21:03:27,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0266,17731,6740,602,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,21-05-2020 21:03:27,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6082,1063860,404400,36131,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
79,79,21-05-2020 21:05:23,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 0.5 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,9,нет,Батуми,0.5 гр,0.0064,4255,1618,145,60.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 0.5 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
80,80,21-05-2020 21:05:23,Batumi,be97026d1d,ГАШИШ твердый!!! Hash!!!! 1 g !!! SALE!!! !!! БАТУМИ !!! BTC SALE 5%!!!,,3,нет,Батуми,1 гр,0.011000000000000001,7447,2831,253,105.0,,,,,,,,,True,,,GAShISh tverdyj!!! Hash!!!! 1 g !!! SALE!!! !!! BATUMI !!! BTC SALE 5%!!!
81,81,21-05-2020 21:05:23,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2334,156033,59312,5299,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
82,82,21-05-2020 21:05:23,Batumi,54915c4374,Батуми н-бооом 2 штуки,,нет,10,Батуми,2 гр,0.0038,2567,977,87,,,,,,,33.0,,,True,,,Batumi n-booom 2 shtuki
83,83,21-05-2020 21:05:23,Batumi,54915c4374,MDMA !! 3 грамма,,нет,2,Батуми,3 гр,0.0424,28370,10784,963,400.0,,,,,,,,,True,,,MDMA !! 3 gramma
84,84,21-05-2020 21:05:23,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.16899999999999998,112990,51992,3765,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
85,85,21-05-2020 21:05:23,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2676,178900,82321,5961,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
86,86,21-05-2020 21:05:23,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7092,2696,241,100.0,,,,,,,,,True,,,kur'er v Batumi
87,87,21-05-2020 21:05:23,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0241,17731,6740,602,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
88,88,21-05-2020 21:05:23,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0241,17731,6740,602,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
89,89,21-05-2020 21:05:23,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6056,1063860,404400,36131,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
90,90,21-05-2020 21:05:23,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.053,35462,13480,1204,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
91,91,21-05-2020 21:06:55,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0509,34398,13076,1168,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,21-05-2020 21:06:55,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0389,26242,9975,891,370.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
93,93,21-05-2020 21:06:55,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0212,14185,5392,482,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
