,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Saburtalo,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,Didube,€,Авлобари,Батуми,Центр,Кутаиси,desc_en
60,60,01-05-2020 19:07:41,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0645,16293,1446,43563,599.0,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
61,61,01-05-2020 19:07:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1173,29920,2656,79999,1100.0,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
62,62,01-05-2020 19:07:41,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,5,Тбилиси,50 гр,0.1478,38080,3380,101817,1400.0,,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
63,63,01-05-2020 19:07:41,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.256,65280,5794,174543,2400.0,,,,,,,,,,,,,100 gr marijuana buds
64,64,01-05-2020 19:07:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2133,54400,4829,145453,2000.0,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
65,65,01-05-2020 19:07:41,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2667,68000,6036,181816,2500.0,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
66,66,01-05-2020 19:07:41,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6293,160480,14244,429085,5900.0,,,,,,,,,,,,,180 gr marihuana persoalno
67,67,01-05-2020 19:07:41,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 200g TOP VHQ,True,нет,2,Тбилиси,200 гр,0.5333,136000,12072,363632,5000.0,,,,,,,,,,,,,AKA-47 ONLY BUDS 200g TOP VHQ
68,68,01-05-2020 19:07:41,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4907,125120,11106,334541,4600.0,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
69,69,01-05-2020 19:08:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8,204000,18107,545447,7500.0,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
70,70,01-05-2020 19:08:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9067,231200,20522,618174,8500.0,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
71,71,01-05-2020 19:08:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0194,5440,483,14545,200.0,,,,,,,,,,,,,KURYER..500RUB.+BONUS
72,72,01-05-2020 19:08:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0213,5440,483,14545,200.0,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
73,73,01-05-2020 19:08:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0267,6800,604,18182,250.0,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
74,74,01-05-2020 19:08:21,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0213,5440,483,14545,200.0,,,,,,,,,,,,,Rabota na marki (kur'er)
75,75,01-05-2020 19:08:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6146,408000,36215,1090895,15000.0,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
76,76,01-05-2020 19:09:54,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2357,59840,5311,159998,2200.0,,,,,,,,,,True,,,[100g] SPAIN HASH
77,77,01-05-2020 19:09:54,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,1663,147,4431,,,,,,,,,56.0,,True,,,Marki N-VoooooM!!!! 4 shtuki
78,78,01-05-2020 19:09:54,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0118,2992,266,8000,110.0,,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
79,79,01-05-2020 19:09:54,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0097,2720,241,7273,100.0,,,,,,,,,,True,,,kur'er v Batumi
80,80,01-05-2020 19:09:54,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0244,6800,604,18182,250.0,,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
81,81,01-05-2020 19:09:54,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0244,6800,604,18182,250.0,,,,,,,,,,True,,,Ischu kur'era v Gruzii!
82,82,01-05-2020 19:09:54,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6217,408000,36215,1090895,15000.0,,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
83,83,01-05-2020 19:09:54,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0536,13600,1207,36363,500.0,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
84,84,01-05-2020 19:11:23,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0231,5984,531,16000,220.0,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
85,85,01-05-2020 19:11:23,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0557,14144,1255,37818,520.0,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,01-05-2020 19:11:23,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0409,10608,942,28363,390.0,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,01-05-2020 19:11:23,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0214,5440,483,14545,200.0,,,,,,,,,,,,True,Rabota na marki (kur'er)
