,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Varketili,Didube,Gldani,Old Tbilisi (Старый город),Авлобари,Батуми,€,Центр,Кутаиси,desc_en
31,31,22-04-2020 11:28:00,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0549,30502,10960,993,400.0,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
32,32,22-04-2020 11:28:00,Tbilisi,4a91350669,5 Amnesia Haze марихуана шишки тгк 25%,True,нет,3,Тбилиси,5 гр,0.022000000000000002,12201,4384,397,160.0,,,,,,,,,,5 Amnesia Haze marihuana shishki tgk 25%
33,33,22-04-2020 11:28:25,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,8,Тбилиси,5 гр,0.0234,12964,4658,422,170.0,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
34,34,22-04-2020 11:28:25,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0274,15175,5453,494,199.0,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
35,35,22-04-2020 11:28:25,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0274,15175,5453,494,199.0,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
36,36,22-04-2020 11:28:25,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0274,16700,6001,544,219.0,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
37,37,22-04-2020 11:28:25,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,7,Тбилиси,5 гр,0.0274,15175,5453,494,199.0,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
38,38,22-04-2020 11:28:25,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.3114,190000,87429,6167,,,,,,,,,,,reagent 25i nbome. 5gr
39,39,22-04-2020 11:28:25,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.375,228769,82200,7447,3000.0,,,,True,True,,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
40,40,22-04-2020 11:28:25,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,10,Тбилиси,5 гр,0.1207,66267,23811,2157,869.0,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
41,41,22-04-2020 11:28:25,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0262,14412,5179,469,189.0,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
42,42,22-04-2020 11:28:25,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0264,14489,5206,472,190.0,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
43,43,22-04-2020 11:28:25,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0679,37289,13399,1214,489.0,,,,,,,,,,💘✨5g. MDMA ✨💘
44,44,22-04-2020 11:28:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0262,14412,5179,469,189.0,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
45,45,22-04-2020 11:28:25,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.1237,68631,24660,2234,900.0,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
46,46,22-04-2020 11:28:25,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0962,53379,19180,1738,700.0,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
47,47,22-04-2020 11:28:25,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.044000000000000004,24402,8768,794,320.0,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
48,48,22-04-2020 11:28:25,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.11,61005,21920,1986,800.0,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
49,49,22-04-2020 11:28:25,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.3059,169670,60965,5523,2225.0,,,,,,,,,,Amfetamin [White] [Import] 10G
50,50,22-04-2020 11:28:25,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,7,Тбилиси,10 гр,0.2012,110495,39703,3597,1449.0,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
51,51,22-04-2020 11:28:25,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0512,28139,10111,916,369.0,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
52,52,22-04-2020 11:28:25,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0415,22801,8193,742,299.0,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
53,53,22-04-2020 11:28:25,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,нет,1,Тбилиси,20 гр,0.0557,30884,11097,1005,405.0,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
54,54,22-04-2020 11:28:25,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0832,45677,16413,1487,599.0,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
55,55,22-04-2020 11:28:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1512,83882,30140,2731,1100.0,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
56,56,22-04-2020 11:28:25,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.33,183015,65760,5958,2400.0,,,,,,,,,,100 gr marijuana buds
57,57,22-04-2020 11:28:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.275,152512,54800,4965,2000.0,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
58,58,22-04-2020 11:28:25,Tbilisi,f8a875c191,SUBOXIN - HQ - 100 G.,True,нет,1,Тбилиси,100 гр,0.2777,152512,54800,4965,2000.0,,,,,,,,,,SUBOXIN - HQ - 100 G.
59,59,22-04-2020 11:28:25,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.3437,190641,68500,6206,2500.0,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
60,60,22-04-2020 11:28:25,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.8111,449912,161660,14646,5900.0,,,,,,,,,,180 gr marihuana persoalno
61,61,22-04-2020 11:28:25,Tbilisi,e56bb6ca93,200gr Georgian indica dominant buds. WHOLESALE PRICE!,True,нет,1,Тбилиси,200 гр,0.4331,240207,86310,7820,3150.0,,,,,,,,,,200gr Georgian indica dominant buds. WHOLESALE PRICE!
62,62,22-04-2020 11:28:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.6324,350779,126040,11419,4600.0,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,63,22-04-2020 11:28:25,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,1.0311,571922,205500,18618,7500.0,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,64,22-04-2020 11:28:25,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,1.1686,648178,232900,21100,8500.0,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,22-04-2020 11:28:25,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.025,15251,5480,496,200.0,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,22-04-2020 11:28:25,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0275,15251,5480,496,200.0,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,22-04-2020 11:28:25,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0344,19064,6850,621,250.0,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,22-04-2020 11:29:16,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0275,15251,5480,496,200.0,,,,,,,,,,Rabota na marki (kur'er)
69,69,22-04-2020 11:29:16,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,2.081,1143843,411000,37236,15000.0,,,,,,,,,,Vakansija optovogo kur'era na mef
70,70,22-04-2020 11:30:01,Batumi,54915c4374,Батуми н-бооом 1 штука,,3,нет,Батуми,1 гр,0.0024,1487,535,48,,,,,,,True,18.0,,,Batumi n-booom 1 shtuka
71,71,22-04-2020 11:30:01,Batumi,54915c4374,Батуми н-бооом 2 штуки,,7,нет,Батуми,2 гр,0.0048,2644,950,86,,,,,,,True,32.0,,,Batumi n-booom 2 shtuki
72,72,22-04-2020 11:30:01,Batumi,54915c4374,Батуми н-бооом 4 штуки,,5,нет,Батуми,4 гр,0.0074,4544,1634,148,,,,,,,True,55.0,True,,Batumi n-booom 4 shtuki
73,73,22-04-2020 11:30:01,Batumi,54915c4374,Батуми н-бооом 5 штук,,4,нет,Батуми,5 гр,0.0081,4957,1782,162,,,,,,,True,60.0,,,Batumi n-booom 5 shtuk
74,74,22-04-2020 11:30:01,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.3025,167764,60280,5461,2200.0,,,,,,True,,,,[100g] SPAIN HASH
75,75,22-04-2020 11:30:01,Batumi,f8a875c191,SUBOXIN - HQ - 100 G.,,нет,2,Батуми,100 гр,0.2777,152512,54800,4965,2000.0,,,,,,True,,,,SUBOXIN - HQ - 100 G.
76,76,22-04-2020 11:30:01,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0125,7626,2740,248,100.0,,,,,,True,,,,kur'er v Batumi
77,77,22-04-2020 11:30:01,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0312,19064,6850,621,250.0,,,,,,True,,,,Rabota kladmenom. Tol'ko shishki.
78,78,22-04-2020 11:30:01,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0312,19064,6850,621,250.0,,,,,,True,,,,Ischu kur'era v Gruzii!
79,79,22-04-2020 11:30:01,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,2.081,1143843,411000,37236,15000.0,,,,,,True,,,,Vakansija optovogo kur'era na mef
80,80,22-04-2020 11:30:01,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0687,38128,13700,1241,500.0,,,,,,True,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,22-04-2020 11:31:20,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,3,нет,Кутаиси,1.5 гр,0.0257,14412,5179,469,189.0,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,82,22-04-2020 11:31:20,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,2 гр,0.061,33858,12166,1102,444.0,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,22-04-2020 11:31:20,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0426,23639,8494,770,310.0,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,22-04-2020 11:31:20,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0275,15251,5480,496,200.0,,,,,,,,,True,Rabota na marki (kur'er)
