,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Gldani,Varketili,Nadzaladevi,Didube,€,Авлобари,Old Tbilisi (Старый город),Батуми,Центр,Кутаиси,desc_en
10,10,30-04-2020 20:24:04,Tbilisi,3814ba5701,Weed From Gali(THC 23%) 1gr,,1,нет,Тбилиси,1 гр,0.0053,3636,1358,122,50.0,,True,,,,,,,,,,Weed From Gali(THC 23%) 1gr
11,11,30-04-2020 20:24:04,Tbilisi,61df6a1c90,Метадон 1гр,True,1,нет,Тбилиси,1 гр,0.09,65454,24435,2192,900.0,,,,,,,,,,,,Metadon 1gr
12,12,30-04-2020 20:24:04,Tbilisi,89f7212915,2 G Hybrid Marijuana Buds,True,4,нет,Тбилиси,2 гр,0.011000000000000001,7273,2715,244,100.0,,,,,,,,,,,,2 G Hybrid Marijuana Buds
13,13,30-04-2020 20:24:04,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0523,34909,13032,1169,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
14,14,30-04-2020 20:24:04,Tbilisi,2f51af8159,Weed Hybrid Somango 2 G,,1,нет,Тбилиси,2 гр,0.0077,5091,1901,171,70.0,True,,,,,,,,,,,Weed Hybrid Somango 2 G
15,15,30-04-2020 20:24:04,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,3,нет,Тбилиси,2 гр,0.0093,6182,2308,207,85.0,True,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
16,16,30-04-2020 20:24:04,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.0143,9454,3530,317,130.0,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
17,17,30-04-2020 20:24:04,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,3,нет,Тбилиси,3 гр,0.0117,7636,2851,256,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
18,18,30-04-2020 20:24:04,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,7,нет,Тбилиси,3 гр,0.011000000000000001,7273,2715,244,100.0,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
19,19,30-04-2020 20:24:04,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,2,нет,Тбилиси,5 гр,0.0338,23272,8688,780,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
20,20,30-04-2020 20:24:04,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,3,нет,Тбилиси,5 гр,0.0327,21818,8145,731,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
21,21,30-04-2020 20:24:04,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0065,4291,1602,144,59.0,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
22,22,30-04-2020 20:24:04,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA. Технический универ,True,2,нет,Тбилиси,5 гр,0.0194,12727,4751,426,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA. Tehnicheskij univer
23,23,30-04-2020 20:24:04,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,16,нет,Тбилиси,10 гр,0.023,15200,5674,509,209.0,True,,,True,,,,,,,,10 gr marijuana buds. -indica-
24,24,30-04-2020 20:24:04,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,2,нет,Тбилиси,10 гр,0.033,21818,8145,731,300.0,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
25,25,30-04-2020 20:24:04,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0422,29091,10860,974,400.0,,,,,,,,,,,,gashish evro 10g
26,26,30-04-2020 20:24:04,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,4,нет,Тбилиси,20 гр,0.0445,29454,10996,987,405.0,True,,,,True,,,,,,,20 gr Indica marijuana buds (hight quality)
27,27,30-04-2020 20:24:04,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.08199999999999999,56508,21096,1893,777.0,,,,,,,,,,,,Gashish Evro 20gr
28,28,30-04-2020 20:24:04,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.2,145453,54300,4872,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
29,29,30-04-2020 20:24:04,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0148,9818,3665,329,135.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
30,30,30-04-2020 20:24:04,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0359,26109,9735,875,,,,,,,330.0,,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
31,31,30-04-2020 20:24:04,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,6,Тбилиси,2 гр,0.0233,15273,5702,512,210.0,,,,,,,,,,,,✨✨2gram. MDMA✨✨
32,32,30-04-2020 20:24:04,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,8,Тбилиси,2 гр,0.040999999999999995,26836,10018,899,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,30-04-2020 20:24:04,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0643,42109,15720,1411,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,30-04-2020 20:24:47,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0603,39999,14933,1340,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
35,35,30-04-2020 20:24:47,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0186,12363,4616,414,170.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
36,36,30-04-2020 20:24:47,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0239,15854,5919,531,218.0,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
37,37,30-04-2020 20:24:47,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0218,14473,5403,485,199.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
38,38,30-04-2020 20:24:47,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0218,14473,5403,485,199.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
39,39,30-04-2020 20:24:47,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0218,15927,5946,534,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
40,40,30-04-2020 20:24:47,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0218,14473,5403,485,199.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
41,41,30-04-2020 20:24:47,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2605,190000,87429,6283,,,,,,,,,,,,,reagent 25i nbome. 5gr
42,42,30-04-2020 20:24:47,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2991,218179,81450,7308,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
43,43,30-04-2020 20:24:47,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1062,69745,26037,2336,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
44,44,30-04-2020 20:24:47,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0209,13745,5131,460,189.0,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
45,45,30-04-2020 20:24:47,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.021,13818,5159,463,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
46,46,30-04-2020 20:24:47,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0542,35563,13276,1191,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
47,47,30-04-2020 20:24:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,5,Тбилиси,5 гр,0.0209,13745,5131,460,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
48,48,30-04-2020 20:24:47,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0121,8000,2987,268,110.0,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
49,49,30-04-2020 20:24:47,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0987,65454,24435,2192,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
50,50,30-04-2020 20:24:47,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0768,50908,19005,1705,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
51,51,30-04-2020 20:24:47,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0351,23272,8688,780,320.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
52,52,30-04-2020 20:24:47,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0877,58181,21720,1949,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
53,53,30-04-2020 20:24:47,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.244,161816,60409,5420,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
54,54,30-04-2020 20:24:47,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1727,113380,42327,3798,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
55,55,30-04-2020 20:24:47,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0409,26836,10018,899,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
56,56,30-04-2020 20:24:47,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,1,Тбилиси,10 гр,0.0331,21745,8118,728,299.0,,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
57,57,30-04-2020 20:24:47,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5538,363632,135750,12181,5000.0,,,,,,,,,,,,METADON - 20 G.
58,58,30-04-2020 20:24:47,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0663,43563,16263,1459,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
59,59,30-04-2020 20:24:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1206,79999,29865,2680,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
60,60,30-04-2020 20:24:47,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2632,174543,65160,5847,2400.0,,,,,,,,,,,,100 gr marijuana buds
61,61,30-04-2020 20:24:47,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,3,Тбилиси,100 гр,0.32899999999999996,218179,81450,7308,3000.0,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
62,62,30-04-2020 20:24:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2193,145453,54300,4872,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
63,63,30-04-2020 20:24:47,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2742,181816,67875,6090,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
64,64,30-04-2020 20:24:47,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.647,429085,160185,14373,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
65,65,30-04-2020 20:24:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.5045,334541,124890,11206,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
66,66,30-04-2020 20:24:47,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8225,545447,203625,18271,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
67,67,30-04-2020 20:24:47,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9322,618174,230775,20707,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
68,68,30-04-2020 20:24:47,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0199,14545,5430,487,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
69,69,30-04-2020 20:25:39,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.02,14545,5430,487,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
70,70,30-04-2020 20:25:39,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.022000000000000002,14545,5430,487,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
71,71,30-04-2020 20:25:39,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0275,18182,6788,609,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
72,72,30-04-2020 20:25:39,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.022000000000000002,14545,5430,487,200.0,,,,,,,,,,,,Rabota na marki (kur'er)
73,73,30-04-2020 20:25:39,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6647,1090895,407250,36542,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
74,74,30-04-2020 20:27:30,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.242,159998,59730,5359,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
75,75,30-04-2020 20:27:30,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0121,8000,2987,268,110.0,,,,,,,,,True,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
76,76,30-04-2020 20:27:30,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.01,7273,2715,244,100.0,,,,,,,,,True,,,kur'er v Batumi
77,77,30-04-2020 20:27:30,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.025,18182,6788,609,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
78,78,30-04-2020 20:27:30,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.025,18182,6788,609,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
79,79,30-04-2020 20:27:30,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6647,1090895,407250,36542,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
80,80,30-04-2020 20:27:30,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.055,36363,13575,1218,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
81,81,30-04-2020 20:28:53,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0206,13745,5131,460,189.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
82,82,30-04-2020 20:28:53,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0532,35200,13141,1179,484.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
83,83,30-04-2020 20:28:53,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.0366,24218,9041,811,333.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
84,84,30-04-2020 20:28:53,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.022000000000000002,14545,5430,487,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
