,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Vake,Vazisubani,Saburtalo,Varketili,Didube,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,12,14-05-2020 07:01:21,Tbilisi,e56bb6ca93,2гр Топ класс HYBRID шишки. 50% sativa 50% indica (КЛАДИ НА МАГНИТАХ),,1,нет,Тбилиси,2 гр,0.0092,2394,218,6549,89.0,,True,,,,,,,,,,2gr Top klass HYBRID shishki. 50% sativa 50% indica (KLADI NA MAGNITAH)
13,13,14-05-2020 07:01:21,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 2g.,True,1,нет,Тбилиси,2 гр,0.0492,12912,1174,35319,480.0,,,,,,,,,,,,VHQ BEST Cocaine 2g.
14,14,14-05-2020 07:01:21,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,1,нет,Тбилиси,2 гр,0.0088,2287,208,6254,85.0,,,True,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
15,15,14-05-2020 07:01:21,Tbilisi,366326d4d6,3LSD ---- LSD ALBERT HOFFMAN 200ug,True,6,нет,Тбилиси,3 гр,0.0124,3201,291,8756,119.0,,,,,,,,,,,,3LSD ---- LSD ALBERT HOFFMAN 200ug
16,16,14-05-2020 07:01:21,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,2,нет,Тбилиси,3 гр,0.011000000000000001,2825,257,7726,105.0,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
17,17,14-05-2020 07:01:21,Tbilisi,dd631c4acf,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩,,2,нет,Тбилиси,3 гр,0.0124,3201,291,8756,119.0,,,True,,,,,,,,,️‍🤩🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈🤩
18,18,14-05-2020 07:01:21,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0318,8608,783,23546,320.0,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,14-05-2020 07:01:21,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0307,8070,734,22075,300.0,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,20,14-05-2020 07:01:21,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0061,1587,144,4341,59.0,,,,,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
21,21,14-05-2020 07:01:21,Tbilisi,e56bb6ca93,5gr marijuana buds -indica- (high quality) (КЛАДИ НА МАГНИТАХ),,4,нет,Тбилиси,5 гр,0.0123,3201,291,8756,119.0,,True,True,,,,,,,,,5gr marijuana buds -indica- (high quality) (KLADI NA MAGNITAH)
22,22,14-05-2020 07:01:21,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,1,нет,Тбилиси,5 гр,0.0183,4708,428,12877,175.0,,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
23,23,14-05-2020 07:01:21,Tbilisi,7cab566931,GEORGIAN MARIJUANA - 7 GRAM,True,4,нет,Тбилиси,7 гр,0.0085,2421,220,6622,90.0,,,,,,,,,,,,GEORGIAN MARIJUANA - 7 GRAM
24,24,14-05-2020 07:01:21,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,11,нет,Тбилиси,10 гр,0.0206,5353,487,14643,199.0,,True,,True,True,,,,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
25,25,14-05-2020 07:01:21,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0397,10760,979,29433,400.0,,,,,,,,,,,,gashish evro 10g
26,26,14-05-2020 07:01:21,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0771,20901,1901,57173,777.0,,,,,,,,,,,,Gashish Evro 20gr
27,27,14-05-2020 07:01:21,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1881,53800,4893,147164,2000.0,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,14-05-2020 07:01:21,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.1 гр.,True,нет,9,Тбилиси,0.1 гр,0.0051,1460,133,3989,,,,,,,50.0,,,,,,Buprenorfin (analog suboteksa) 0.1 gr.
29,29,14-05-2020 07:01:21,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,9,Тбилиси,0.5 гр,0.0078,2018,183,5519,75.0,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
30,30,14-05-2020 07:01:21,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0166,4304,391,11773,160.0,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
31,31,14-05-2020 07:01:21,Tbilisi,54915c4374,MDMA целковый кристальчик!! 1.51,True,нет,1,Тбилиси,1.51 гр,0.0156,4062,369,11111,151.0,,,,,,,,,,,,MDMA tselkovyj kristal'chik!! 1.51
32,32,14-05-2020 07:01:21,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0386,9926,903,27152,369.0,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
33,33,14-05-2020 07:01:21,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0605,15575,1416,42604,579.0,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
34,34,14-05-2020 07:02:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0414,10760,979,29433,400.0,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
35,35,14-05-2020 07:02:16,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0145,3766,342,10301,140.0,,,True,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
36,36,14-05-2020 07:02:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0569,14795,1345,40470,550.0,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
37,37,14-05-2020 07:02:16,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0243,6322,575,17292,235.0,,,,,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
38,38,14-05-2020 07:02:16,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.0248,6456,587,17660,240.0,,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
39,39,14-05-2020 07:02:16,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0238,6187,563,16924,230.0,,,,,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
40,40,14-05-2020 07:02:16,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0165,4277,389,11700,159.0,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,41,14-05-2020 07:02:16,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.0248,6456,587,17660,240.0,,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
42,42,14-05-2020 07:02:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0248,6456,587,17660,240.0,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,14-05-2020 07:02:16,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0238,6187,563,16924,230.0,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,14-05-2020 07:02:16,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0206,5891,536,16114,219.0,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,14-05-2020 07:02:16,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0243,6322,575,17292,235.0,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,14-05-2020 07:02:16,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0166,4304,391,11773,160.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
47,47,14-05-2020 07:02:16,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.243,87429,6318,190000,,,,,,,,,,,,,reagent 25i nbome. 5gr
48,48,14-05-2020 07:02:16,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2823,80700,7339,220746,3000.0,,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
49,49,14-05-2020 07:02:16,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1003,25797,2346,70565,959.0,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
50,50,14-05-2020 07:02:16,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,4,Тбилиси,5 гр,0.0199,5111,465,13981,190.0,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,51,14-05-2020 07:02:16,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0511,13154,1196,35982,489.0,,,,,,,,,,,,💘✨5g. MDMA ✨💘
52,52,14-05-2020 07:02:16,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0198,5084,462,13907,189.0,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,53,14-05-2020 07:02:16,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0932,24210,2202,66224,900.0,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
54,54,14-05-2020 07:02:16,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0414,10760,979,29433,400.0,,,,,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
55,55,14-05-2020 07:02:16,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,2,Тбилиси,10 гр,0.0725,18830,1712,51507,700.0,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,14-05-2020 07:02:16,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0435,11298,1027,30904,420.0,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,14-05-2020 07:02:16,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0104,2690,245,7358,100.0,,,,,,,,,,,,10G Hybrid Marijuana Leafs
58,58,14-05-2020 07:02:16,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0828,21520,1957,58866,800.0,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,14-05-2020 07:02:16,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.03,7801,709,21339,290.0,,,,,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
60,60,14-05-2020 07:02:16,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2303,59853,5443,163720,2225.0,,,,,,,,,,,,Amfetamin [White] [Import] 10G
61,61,14-05-2020 07:02:16,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.163,41937,3814,114714,1559.0,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
62,62,14-05-2020 07:02:16,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0386,9926,903,27152,369.0,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
63,63,14-05-2020 07:02:16,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5228,134500,12232,367910,5000.0,,,,,,,,,,,,METADON - 20 G.
64,64,14-05-2020 07:02:16,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0626,16113,1465,44076,599.0,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
65,65,14-05-2020 07:02:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1139,29590,2691,80940,1100.0,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
66,66,14-05-2020 07:02:16,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2484,64560,5871,176597,2400.0,,,,,,,,,,,,100 gr marijuana buds
67,67,14-05-2020 07:02:16,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.207,53800,4893,147164,2000.0,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
68,68,14-05-2020 07:02:16,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2588,67250,6116,183955,2500.0,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
69,69,14-05-2020 07:03:05,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6104,158710,14433,434133,5900.0,,,,,,,,,,,,180 gr marihuana persoalno
70,70,14-05-2020 07:03:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4759,123740,11253,338477,4600.0,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
71,71,14-05-2020 07:03:05,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7759,201750,18347,551864,7500.0,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
72,72,14-05-2020 07:03:05,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8793,228650,20794,625446,8500.0,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
73,73,14-05-2020 07:03:05,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0188,5380,489,14716,200.0,,,,,,,,,,,,KURYER..500RUB.+BONUS
74,74,14-05-2020 07:03:05,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0207,5380,489,14716,200.0,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
75,75,14-05-2020 07:03:05,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0259,6725,612,18395,250.0,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
76,76,14-05-2020 07:03:05,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5659,403500,36695,1103729,15000.0,,,,,,,,,,,,Vakansija optovogo kur'era na mef
77,77,14-05-2020 07:04:37,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2276,59180,5382,161880,2200.0,,,,,,,,,True,,,[100g] SPAIN HASH
78,78,14-05-2020 07:04:37,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1589,51992,3757,112990,,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
79,79,14-05-2020 07:04:37,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2515,82321,5948,178900,,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
80,80,14-05-2020 07:04:37,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0094,2690,245,7358,100.0,,,,,,,,,True,,,kur'er v Batumi
81,81,14-05-2020 07:04:37,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0235,6725,612,18395,250.0,,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
82,82,14-05-2020 07:04:37,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0235,6725,612,18395,250.0,,,,,,,,,True,,,Ischu kur'era v Gruzii!
83,83,14-05-2020 07:04:37,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5659,403500,36695,1103729,15000.0,,,,,,,,,True,,,Vakansija optovogo kur'era na mef
84,84,14-05-2020 07:04:37,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0517,13450,1223,36791,500.0,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
85,85,14-05-2020 07:06:06,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0212,5649,514,15452,210.0,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
86,86,14-05-2020 07:06:06,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,6,нет,Кутаиси,2 гр,0.0496,13047,1186,35687,485.0,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
87,87,14-05-2020 07:06:06,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,8,нет,Кутаиси,3 гр,0.0378,9953,905,27225,370.0,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
88,88,14-05-2020 07:06:06,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0206,5380,489,14716,200.0,,,,,,,,,,,True,Rabota na marki (kur'er)
