,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Vake,Saburtalo,Varketili,Didube,Old Tbilisi (Старый город),Gldani,Vazisubani,Nadzaladevi,€,Авлобари,Центр,Батуми,Кутаиси,desc_en
13,13,02-05-2020 09:13:39,Tbilisi,aeb8abccb9,✿ 2gr Hybrid Weed Indica Buds VHQ ❤,,2,2,Тбилиси,2 гр,0.0091,6182,2312,205,85.0,,True,,,,,,,,,,,,✿ 2gr Hybrid Weed Indica Buds VHQ ❤
14,14,02-05-2020 09:13:39,Tbilisi,89f7212915,3 G Hybrid Marijuana Big Buds,True,4,нет,Тбилиси,3 гр,0.013999999999999999,9454,3536,314,130.0,,,,,,,,,,,,,,3 G Hybrid Marijuana Big Buds
15,15,02-05-2020 09:13:39,Tbilisi,4659482266,3g superskunk top class buds.,,5,нет,Тбилиси,3 гр,0.0129,8654,3237,287,119.0,,,,,,True,,,,,,,,3g superskunk top class buds.
16,16,02-05-2020 09:13:39,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,1,нет,Тбилиси,3 гр,0.0114,7636,2856,254,105.0,,,,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
17,17,02-05-2020 09:13:39,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 3g TOP VHQ,True,9,нет,Тбилиси,3 гр,0.0107,7273,2720,241,100.0,,,,,,,,,,,,,,AKA-47 ONLY BUDS 3g TOP VHQ
18,18,02-05-2020 09:13:39,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.033,23272,8704,773,320.0,,,,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
19,19,02-05-2020 09:13:39,Tbilisi,688dd1cbd1,5 Grm Mdma Pure Quality A +++,True,2,нет,Тбилиси,5 гр,0.0319,21818,8160,724,300.0,,,,,,,,,,,,,,5 Grm Mdma Pure Quality A +++
20,20,02-05-2020 09:13:39,Tbilisi,f4d1c31614,5g MDMA (IMPORTED),True,1,нет,Тбилиси,5 гр,0.0392,27636,10336,917,380.0,,,,,,,,,,,,,,5g MDMA (IMPORTED)
21,21,02-05-2020 09:13:39,Tbilisi,83f3d55917,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .,,1,нет,Тбилиси,8 гр,0.0408,27636,10336,917,380.0,,,,,,,True,,,,,,,!!!New!!!(Hawaiian sativa 8G ) 20%THC Sale .
22,22,02-05-2020 09:13:39,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica-,True,9,нет,Тбилиси,10 гр,0.0225,15200,5685,505,209.0,,True,,,,,,True,,,,,,10 gr marijuana buds. -indica-
23,23,02-05-2020 09:13:39,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 10g TOP VHQ,True,3,нет,Тбилиси,10 гр,0.0322,21818,8160,724,300.0,,,,,,,,,,,,,,AKA-47 ONLY BUDS 10g TOP VHQ
24,24,02-05-2020 09:13:39,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0412,29091,10880,966,400.0,,,,,,,,,,,,,,gashish evro 10g
25,25,02-05-2020 09:13:39,Tbilisi,e56bb6ca93,20 gr Indica marijuana buds (hight quality),True,9,нет,Тбилиси,20 гр,0.0435,29454,11016,978,405.0,,True,,True,,,,,,,,,,20 gr Indica marijuana buds (hight quality)
26,26,02-05-2020 09:13:39,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0801,56508,21134,1876,777.0,,,,,,,,,,,,,,Gashish Evro 20gr
27,27,02-05-2020 09:13:39,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1954,145453,54400,4829,2000.0,,,,,,,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
28,28,02-05-2020 09:13:39,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.2 грамм",True,нет,16,Тбилиси,0.2 гр,0.0042,2836,1061,94,39.0,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.2 gramm"
29,29,02-05-2020 09:13:39,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,7,Тбилиси,1 гр,0.0172,11636,4352,386,160.0,,,,,,,,,,,,,,"""Kief"" Weed trichomes 1G"
30,30,02-05-2020 09:13:39,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 1 грамм",True,нет,2,Тбилиси,1 гр,0.0145,9818,3672,326,135.0,,,,,,,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 1 gramm"
31,31,02-05-2020 09:13:39,Tbilisi,54915c4374,"Бупренорфин 1 грамм (Предложение для тех кто хочет победить так называемую ""Ломку"")",True,нет,1,Тбилиси,1 гр,0.0351,26109,9801,867,,,,,,,,,,330.0,,,,,"Buprenorfin 1 gramm (Predlozhenie dlja teh kto hochet pobedit' tak nazyvaemuju ""Lomku"")"
32,32,02-05-2020 09:13:39,Tbilisi,54915c4374,"""JoKer Express"" - Марки н боом 2 штуки!",True,нет,45,Тбилиси,2 гр,0.0038,2545,952,85,35.0,,,,,,,,,,,,,,"""JoKer Express"" - Marki n boom 2 shtuki!"
33,33,02-05-2020 09:13:39,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,5,Тбилиси,2 гр,0.0228,15273,5712,507,210.0,,,,,,,,,,,,,,✨✨2gram. MDMA✨✨
34,34,02-05-2020 09:14:16,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,7,Тбилиси,2 гр,0.04,26836,10037,891,369.0,,,,,,,,,,,,,,❄❄2g HQ COCAINE❄❄
35,35,02-05-2020 09:14:16,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,10,Тбилиси,3 гр,0.0628,42109,15749,1398,579.0,,,,,,,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
36,36,02-05-2020 09:14:16,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.043,29091,10880,966,400.0,,,,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
37,37,02-05-2020 09:14:16,Tbilisi,54915c4374,Предзаказ н-бооом 4 штуки!!!,True,нет,9,Тбилиси,4 гр,0.0064,4364,1632,145,60.0,,,,,,,,,,,,,,Predzakaz n-booom 4 shtuki!!!
38,38,02-05-2020 09:14:16,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,4,Тбилиси,4 гр,0.015,10182,3808,338,140.0,,True,,,,,,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
39,39,02-05-2020 09:14:16,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0591,39999,14960,1328,550.0,,,,,,,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
40,40,02-05-2020 09:14:16,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,4,Тбилиси,5 гр,0.0183,12363,4624,410,170.0,,,,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
41,41,02-05-2020 09:14:16,Tbilisi,8ddca45a78,5g WEED MIX / выбери свои сорта,True,нет,3,Тбилиси,5 гр,0.0234,15854,5930,526,218.0,,,,,,,,,,,,,,5g WEED MIX / vyberi svoi sorta
42,42,02-05-2020 09:14:16,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.0214,14473,5413,480,199.0,,,,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
43,43,02-05-2020 09:14:16,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0214,14473,5413,480,199.0,,,,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
44,44,02-05-2020 09:14:16,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0214,15927,5957,529,219.0,,,,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
45,45,02-05-2020 09:14:16,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0214,14473,5413,480,199.0,,,,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
46,46,02-05-2020 09:14:16,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.2552,190000,87429,6306,,,,,,,,,,,,,,,reagent 25i nbome. 5gr
47,47,02-05-2020 09:14:16,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.293,218179,81600,7243,3000.0,,,,,True,,,,,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
48,48,02-05-2020 09:14:16,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.1041,69745,26085,2315,959.0,,,,,,,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
49,49,02-05-2020 09:14:16,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5шт. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈,True,нет,5,Тбилиси,5 гр,0.0205,13745,5141,456,189.0,,,,,,,,,,,,,,️‍🌈️‍🌈️‍🌈️‍🌈️‍🌈5sht. L S D 200ug.🌈️‍🌈️‍🌈️‍🌈️‍🌈
50,50,02-05-2020 09:14:16,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0206,13818,5168,459,190.0,,,,,,,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
51,51,02-05-2020 09:14:16,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0531,35563,13301,1181,489.0,,,,,,,,,,,,,,💘✨5g. MDMA ✨💘
52,52,02-05-2020 09:14:16,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,3,Тбилиси,5 гр,0.0205,13745,5141,456,189.0,,,,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
53,53,02-05-2020 09:14:16,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",True,нет,10,Тбилиси,10 гр,0.0118,8000,2992,266,110.0,,,,,,,,,,,,,,"""Dzhoker ekspres"" marki nbooom 10 sht"
54,54,02-05-2020 09:14:16,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0967,65454,24480,2173,900.0,,,,,,,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
55,55,02-05-2020 09:14:16,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0752,50908,19040,1690,700.0,,,,,,,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
56,56,02-05-2020 09:14:17,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0344,23272,8704,773,320.0,,,,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
57,57,02-05-2020 09:14:17,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,40,Тбилиси,10 гр,0.0107,7273,2720,241,100.0,,,,,,,,,,,,,,10G Hybrid Marijuana Leafs
58,58,02-05-2020 09:14:17,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.086,58181,21760,1931,800.0,,,,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
59,59,02-05-2020 09:14:17,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2391,161816,60520,5372,2225.0,,,,,,,,,,,,,,Amfetamin [White] [Import] 10G
60,60,02-05-2020 09:14:17,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,6,Тбилиси,10 гр,0.1692,113380,42405,3764,1559.0,,,,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
61,61,02-05-2020 09:14:17,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.04,26836,10037,891,369.0,,,,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
62,62,02-05-2020 09:14:17,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5426,363632,136000,12072,5000.0,,,,,,,,,,,,,,METADON - 20 G.
63,63,02-05-2020 09:14:17,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.065,43563,16293,1446,599.0,,,,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
64,64,02-05-2020 09:14:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1182,79999,29920,2656,1100.0,,,,,,,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
65,65,02-05-2020 09:14:17,Tbilisi,52fe6d0af9,White Russia Fem Buds Only 21%+ THC 50G,True,нет,5,Тбилиси,50 гр,0.1489,101817,38080,3380,1400.0,,,,,,,,,,,,,,White Russia Fem Buds Only 21%+ THC 50G
66,66,02-05-2020 09:14:17,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2579,174543,65280,5794,2400.0,,,,,,,,,,,,,,100 gr marijuana buds
67,67,02-05-2020 09:14:17,Tbilisi,21e6be39fb,AKA-47 ONLY BUDS 100g TOP VHQ,True,нет,2,Тбилиси,100 гр,0.3223,218179,81600,7243,3000.0,,,,,,,,,,,,,,AKA-47 ONLY BUDS 100g TOP VHQ
68,68,02-05-2020 09:14:17,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2149,145453,54400,4829,2000.0,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
69,69,02-05-2020 09:14:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2156,145453,54400,4829,2000.0,,,,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
70,70,02-05-2020 09:14:48,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2695,181816,68000,6036,2500.0,,,,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
71,71,02-05-2020 09:14:48,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6359,429085,160480,14244,5900.0,,,,,,,,,,,,,,180 gr marihuana persoalno
72,72,02-05-2020 09:14:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4958,334541,125120,11106,4600.0,,,,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
73,73,02-05-2020 09:14:48,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8084,545447,204000,18107,7500.0,,,,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
74,74,02-05-2020 09:14:48,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9161,618174,231200,20522,8500.0,,,,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
75,75,02-05-2020 09:14:48,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0196,14545,5440,483,200.0,,,,,,,,,,,,,,KURYER..500RUB.+BONUS
76,76,02-05-2020 09:14:48,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0216,14545,5440,483,200.0,,,,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
77,77,02-05-2020 09:14:48,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0269,18182,6800,604,250.0,,,,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
78,78,02-05-2020 09:14:48,Tbilisi,54915c4374,Работа на марки (курьер),True,нет,1,Тбилиси,25 гр,0.0216,14545,5440,483,200.0,,,,,,,,,,,,,,Rabota na marki (kur'er)
79,79,02-05-2020 09:14:48,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6314,1090895,408000,36215,15000.0,,,,,,,,,,,,,,Vakansija optovogo kur'era na mef
80,80,02-05-2020 09:16:07,Batumi,54915c4374,Батуми н-бооом 2 штуки,,3,нет,Батуми,2 гр,0.0037,2532,950,84,,,,,,,,,,32.0,,True,,,Batumi n-booom 2 shtuki
81,81,02-05-2020 09:16:07,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2364,159998,59840,5311,2200.0,,,,,,,,,,,,True,,[100g] SPAIN HASH
82,82,02-05-2020 09:16:07,Batumi,54915c4374,Марки Н-ВоооооМ!!!! 4 штуки,,нет,10,Батуми,4 гр,0.0065,4431,1663,147,,,,,,,,,,56.0,,,True,,Marki N-VoooooM!!!! 4 shtuki
83,83,02-05-2020 09:16:07,Batumi,54915c4374,"""Джокер экспрес"" марки нбооом 10 шт",,нет,9,Батуми,10 гр,0.0118,8000,2992,266,110.0,,,,,,,,,,,,True,,"""Dzhoker ekspres"" marki nbooom 10 sht"
84,84,02-05-2020 09:16:07,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0098,7273,2720,241,100.0,,,,,,,,,,,,True,,kur'er v Batumi
85,85,02-05-2020 09:16:07,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0244,18182,6800,604,250.0,,,,,,,,,,,,True,,Rabota kladmenom. Tol'ko shishki.
86,86,02-05-2020 09:16:07,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0244,18182,6800,604,250.0,,,,,,,,,,,,True,,Ischu kur'era v Gruzii!
87,87,02-05-2020 09:16:07,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.6264,1090895,408000,36215,15000.0,,,,,,,,,,,,True,,Vakansija optovogo kur'era na mef
88,88,02-05-2020 09:16:07,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0537,36363,13600,1207,500.0,,,,,,,,,,,True,True,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
89,89,02-05-2020 09:17:31,Kutaisi,be97026d1d,MDMA from Europe!!! 1.5g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,2,нет,Кутаиси,1.5 гр,0.0232,16000,5984,531,220.0,,,,,,,,,,,,,True,MDMA from Europe!!! 1.5g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
90,90,02-05-2020 09:17:31,Kutaisi,be97026d1d,Columbia Cocaine VHQ 2g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,7,нет,Кутаиси,2 гр,0.0559,37818,14144,1255,520.0,,,,,,,,,,,,,True,Columbia Cocaine VHQ 2g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
91,91,02-05-2020 09:17:31,Kutaisi,be97026d1d,MDMA from Europe!!! 3g !!! SALE!!! !!! КУТАИСИ !!! BTC SALE 5%!!!!,,9,нет,Кутаиси,3 гр,0.040999999999999995,28363,10608,942,390.0,,,,,,,,,,,,,True,MDMA from Europe!!! 3g !!! SALE!!! !!! KUTAISI !!! BTC SALE 5%!!!!
92,92,02-05-2020 09:17:31,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0215,14545,5440,483,200.0,,,,,,,,,,,,,True,Rabota na marki (kur'er)
