,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Дигоми,Varketili,Vake,€,Old Tbilisi (Старый город),Авлобари,Батуми,Центр,Кутаиси,desc_en
12,12,12-02-2020 19:49:26,Tbilisi,0a8c230fa2,Pure COCAINE VHQ 0.5g,True,3,нет,Тбилиси,0.5 гр,0.0099,6872.0,2686.0,239,109.0,,,,,,,,,,,Pure COCAINE VHQ 0.5g
13,13,12-02-2020 19:49:26,Tbilisi,dd631c4acf,❄❄❄0.5g HQ COCAINE❄❄❄,True,1,нет,Тбилиси,0.5 гр,0.0095,6242.0,2439.0,217,99.0,,,,,,,,,,,❄❄❄0.5g HQ COCAINE❄❄❄
14,14,12-02-2020 19:49:26,Tbilisi,61df6a1c90,Метадон 0.6гр,True,2,нет,Тбилиси,0.6 гр,0.0258,18914.0,7392.0,658,300.0,,,,,,,,,,,Metadon 0.6gr
15,15,12-02-2020 19:49:26,Tbilisi,97bbc3dfd6,SUBUTEX B8 (ORIGINAL) 0.8 гр. (1 штука) ВНИМАНИЕ! НЕДЕЛЬНАЯ РАСПРОДАЖА! 120$!,True,4,нет,Тбилиси,0.8 гр,0.0114,7566.0,2957.0,263,120.0,,,,,,,,,,,SUBUTEX B8 (ORIGINAL) 0.8 gr. (1 shtuka) VNIMANIE! NEDEL'NAJa RASPRODAZhA! 120$!
16,16,12-02-2020 19:49:26,Tbilisi,89f7212915,1 G Hybrid Marijuana Buds За BТС 10% СКИДКА,True,28,нет,Тбилиси,1 гр,0.0039,2837.0,1109.0,99,45.0,,,,,,,,,,,1 G Hybrid Marijuana Buds Za BTS 10% SKIDKA
17,17,12-02-2020 19:49:26,Tbilisi,cb721d4bca,1 gr Шишки “OG KUSH VHQ”,True,5,нет,Тбилиси,1 гр,0.0047,3152.0,1232.0,110,50.0,,,,,,,,,,,1 gr Shishki “OG KUSH VHQ”
18,18,12-02-2020 19:49:26,Tbilisi,21de5577be,1 gr. Blue Berry Kush 100% Natural/Indika/ Import,,7,нет,Тбилиси,1 гр,0.0043,2837.0,1109.0,99,45.0,,True,True,,,,,,,,1 gr. Blue Berry Kush 100% Natural/Indika/ Import
19,19,12-02-2020 19:49:26,Tbilisi,366326d4d6,1g MDMA - !!!NEW!!! - Purity 93%,True,7,нет,Тбилиси,1 гр,0.0104,6872.0,2686.0,239,109.0,,,,,,,,,,,1g MDMA - !!!NEW!!! - Purity 93%
20,20,12-02-2020 19:49:26,Tbilisi,8219f5e7b8,"Cocaine, 1g",True,9,нет,Тбилиси,1 гр,0.021,13870.0,5421.0,482,220.0,,,,,,,,,,,"Cocaine, 1g"
21,21,12-02-2020 19:49:26,Tbilisi,8219f5e7b8,Ketamine 1g,True,5,нет,Тбилиси,1 гр,0.0096,6305.0,2464.0,219,100.0,,,,,,,,,,,Ketamine 1g
22,22,12-02-2020 19:49:26,Tbilisi,366326d4d6,Ketamine 1g.,True,2,нет,Тбилиси,1 гр,0.0085,5611.0,2193.0,195,89.0,,,,,,,,,,,Ketamine 1g.
23,23,12-02-2020 19:49:26,Tbilisi,8ec76151d3,Metadon VHQ 1 24/7,True,4,нет,Тбилиси,1 гр,0.043,31524.0,12320.0,1096,500.0,,,,,,,,,,,Metadon VHQ 1 24/7
24,24,12-02-2020 19:49:26,Tbilisi,1768a14bbd,NEW SALE Cocaine HQ 1 гр.,True,4,нет,Тбилиси,1 гр,0.0181,11916.0,4657.0,414,189.0,,,,,,,,,,,NEW SALE Cocaine HQ 1 gr.
25,25,12-02-2020 19:49:26,Tbilisi,c72111ac1a,NZT-52 mind storm limited 1г мука,True,14,нет,Тбилиси,1 гр,0.0112,8196.0,3203.0,285,130.0,,,,,,,,,,,NZT-52 mind storm limited 1g muka
26,26,12-02-2020 19:49:26,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 1g.,True,1,нет,Тбилиси,1 гр,0.0181,12546.0,4903.0,436,199.0,,,,,,,,,,,VHQ BEST Cocaine 1g.
27,27,12-02-2020 19:49:26,Tbilisi,d04eeb6525,Кокаин HQ 1г.,True,3,нет,Тбилиси,1 гр,0.0177,11916.0,4657.0,414,189.0,,,,,,,,,,,Kokain HQ 1g.
28,28,12-02-2020 19:49:26,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 1g,,5,нет,Тбилиси,1 гр,0.0188,12546.0,4903.0,436,199.0,,,,True,,,,,,,Kokain KOLUMBIA 1g
29,29,12-02-2020 19:49:26,Tbilisi,61df6a1c90,Метадон 1гр,True,2,нет,Тбилиси,1 гр,0.0409,28371.0,11088.0,987,450.0,,,,,,,,,,,Metadon 1gr
30,30,12-02-2020 19:49:26,Tbilisi,e8a987a33c,"Метадон, 1gr",True,6,нет,Тбилиси,1 гр,0.0379,25219.0,9856.0,877,400.0,,,,,,,,,,,"Metadon, 1gr"
31,31,12-02-2020 19:49:26,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,,,,167,,,,,,70.0,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
32,32,12-02-2020 19:50:03,Tbilisi,7ee4f68218,2 ecstasy 💊Tekashi69💊 260mg mdma (скидка в биктоин),True,2,нет,Тбилиси,2 гр,,,,167,,,,,,70.0,,,,,,2 ecstasy 💊Tekashi69💊 260mg mdma (skidka v biktoin)
33,33,12-02-2020 19:50:03,Tbilisi,c9a56b2b4a,2x Extasy Duracell 223mg MDMA.,True,3,нет,Тбилиси,2 гр,0.0067,4413.0,1725.0,153,70.0,,,,,,,,,,,2x Extasy Duracell 223mg MDMA.
34,34,12-02-2020 19:50:03,Tbilisi,be97026d1d,Columbia Cocaine VHQ 2.0g BTC SALE 5%,True,1,нет,Тбилиси,2 гр,0.0358,24273.0,9486.0,844,385.0,,,,,,,,,,,Columbia Cocaine VHQ 2.0g BTC SALE 5%
35,35,12-02-2020 19:50:03,Tbilisi,8219f5e7b8,"LSD - 250 ug, 2 pieces",True,3,нет,Тбилиси,2 гр,0.0067,4413.0,1725.0,153,70.0,,,,,,,,,,,"LSD - 250 ug, 2 pieces"
36,36,12-02-2020 19:50:03,Tbilisi,c72111ac1a,NZT-52 mind storm limited 2г мука,True,8,нет,Тбилиси,2 гр,0.0198,14501.0,5667.0,504,230.0,,,,,,,,,,,NZT-52 mind storm limited 2g muka
37,37,12-02-2020 19:50:03,Tbilisi,d04eeb6525,Кокаин HQ 2г.,True,1,нет,Тбилиси,2 гр,0.0345,23895.0,9339.0,831,379.0,,,,,,,,,,,Kokain HQ 2g.
38,38,12-02-2020 19:50:03,Tbilisi,b2c155ffa7,Кокаин КОЛУМБИА 2g,,5,нет,Тбилиси,2 гр,0.0378,25156.0,9831.0,875,399.0,,,,True,,,,,,,Kokain KOLUMBIA 2g
39,39,12-02-2020 19:50:03,Tbilisi,edfbad0151,VHQ Cx Columbia Import 2+0.2G High Quality,True,2,нет,Тбилиси,2.2 гр,0.0283,19229.0,7515.0,669,305.0,,,,,,,,,,,VHQ Cx Columbia Import 2+0.2G High Quality
40,40,12-02-2020 19:50:03,Tbilisi,ad9cb826c6,"3 Grm Mdma , Purity A +++",True,1,нет,Тбилиси,3 гр,0.019,13870.0,5421.0,482,220.0,,,,,,,,,,,"3 Grm Mdma , Purity A +++"
41,41,12-02-2020 19:50:03,Tbilisi,c9a56b2b4a,3x Extasy Duracell 223mg MDMA,True,5,нет,Тбилиси,3 гр,0.0101,6620.0,2587.0,230,105.0,,,,,,,,,,,3x Extasy Duracell 223mg MDMA
42,42,12-02-2020 19:50:03,Tbilisi,c72111ac1a,NZT-52 mind storm limited 3г мука,True,1,нет,Тбилиси,3 гр,0.0284,20806.0,8131.0,724,330.0,,,,,,,,,,,NZT-52 mind storm limited 3g muka
43,43,12-02-2020 19:50:03,Tbilisi,dd631c4acf,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈,True,3,нет,Тбилиси,3 гр,0.0114,7503.0,2932.0,261,119.0,,,,,,,,,,,️‍🌈️‍🌈️‍🌈3 LSD 200ug.🌈️‍🌈️‍🌈
44,44,12-02-2020 19:50:03,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,3.3 гр,0.0388,28371.0,11088.0,987,450.0,,,,,,,,,,,"VHQ Cx Columbia Import 3+0.3G High Quality ""Btc -10% Sale"""
45,45,12-02-2020 19:50:03,Tbilisi,9795761a65,*new* Cocaine peru HQ 5 gr BTC -10 %,True,1,нет,Тбилиси,5 гр,0.0835,61080.0,23878.0,2124,,,,,,888.0,,,,,,*new* Cocaine peru HQ 5 gr BTC -10 %
46,46,12-02-2020 19:50:03,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,1,нет,Тбилиси,5 гр,0.0276,20175.0,7885.0,702,320.0,,,,,,,,,,,"5 Grm MDMA , Purity A +++"
47,47,12-02-2020 19:50:03,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,5,нет,Тбилиси,5 гр,0.0168,11033.0,4312.0,384,175.0,,,,,,,,,,,5x Extasy Duracell 223mg MDMA.
48,48,12-02-2020 19:50:03,Tbilisi,16be2c8499,Мощные жирные марки 25i nbome 5шт. Готовые клады в Грузии от производителя!,,1,нет,Тбилиси,5 гр,0.0056,4098.0,1602.0,143,65.0,,,,,,True,,,,,Moschnye zhirnye marki 25i nbome 5sht. Gotovye klady v Gruzii ot proizvoditelja!
49,49,12-02-2020 19:50:03,Tbilisi,c225d2f67d,гашиш евро 5г,True,3,нет,Тбилиси,5 гр,0.0191,13240.0,5174.0,460,210.0,,,,,,,,,,,gashish evro 5g
50,50,12-02-2020 19:50:03,Tbilisi,edfbad0151,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale""",True,1,нет,Тбилиси,6 гр,0.0743,50438.0,19712.0,1754,800.0,,,,,,,,,,,"VHQ Cx Columbia Import 5G+1G High Quality ""Btc -10% Sale"""
51,51,12-02-2020 19:50:03,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0364,25219.0,9856.0,877,400.0,,,,,,,,,,,gashish evro 10g
52,52,12-02-2020 19:50:03,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (10шт)",True,23,нет,Тбилиси,10 гр,0.0086,6305.0,2464.0,219,100.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (10sht)"
53,53,12-02-2020 19:50:03,Tbilisi,9795761a65,* SALE * COCAINE Peru 11 gr BTC -50 %,True,2,нет,Тбилиси,11 гр,0.087,114595.0,44799.0,3985,,,,,,1666.0,,,,,,* SALE * COCAINE Peru 11 gr BTC -50 %
54,54,12-02-2020 19:50:03,Tbilisi,436325081c,weed leaves 13gr +,True,3,нет,Тбилиси,13 гр,0.0057,4161.0,1626.0,145,66.0,,,,,,,,,,,weed leaves 13gr +
55,55,12-02-2020 19:50:03,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0707,48988.0,19145.0,1704,777.0,,,,,,,,,,,Gashish Evro 20gr
56,56,12-02-2020 19:50:03,Tbilisi,9795761a65,* SALE *COCAINE Peru 20+2 gr BTC-50%,True,2,нет,Тбилиси,22 гр,0.1451,191014.0,74674.0,6642,,,,,,2777.0,,,,,,* SALE *COCAINE Peru 20+2 gr BTC-50%
57,57,12-02-2020 19:50:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.27 G (SALE),True,нет,4,Тбилиси,0.27 гр,0.0239,15762.0,6160.0,548,250.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.27 G (SALE)
58,58,12-02-2020 19:50:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 0.35 G (SALE),True,1,5,Тбилиси,0.35 гр,0.0335,22066.0,8624.0,767,350.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 0.35 G (SALE)
59,59,12-02-2020 19:50:03,Tbilisi,28bf667d16,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin,True,нет,3,Тбилиси,1 гр,0.0069,4792.0,1873.0,167,76.0,,,,,,,,,,,Hashish Ice-o-lator 1g Promotion -5% for Bitcoin
60,60,12-02-2020 19:50:03,Tbilisi,f8a875c191,Метадон - (KRISTAL) - VHQ - 1 G (SALE),True,нет,5,Тбилиси,1 гр,0.0575,37828.0,14784.0,1315,600.0,,,,,,,,,,,Metadon - (KRISTAL) - VHQ - 1 G (SALE)
61,61,12-02-2020 19:50:03,Tbilisi,7c395c455d,2 gr mdma Кристаллы очен силни импорт с европи,True,нет,2,Тбилиси,2 гр,0.0209,13870.0,5421.0,482,220.0,,,,,,,,,,,2 gr mdma Kristally ochen silni import s evropi
62,62,12-02-2020 19:50:03,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,10,Тбилиси,4 гр,0.0379,25219.0,9856.0,877,400.0,,,,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
63,63,12-02-2020 19:50:03,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS saburtalo!! если платите с бтк скидка 1%,True,нет,8,Тбилиси,5 гр,0.0228,15131.0,5914.0,526,240.0,,,,,,,,,,,5 gr GORILLA GLUE marihuana BUDS saburtalo!! esli platite s btk skidka 1%
64,64,12-02-2020 19:50:03,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
65,65,12-02-2020 19:50:39,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,10,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,5 gr Shishki “OG KUSH VHQ”
66,66,12-02-2020 19:50:39,Tbilisi,ce030318fd,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,9,Тбилиси,5 гр,0.1291,94571.0,36960.0,3289,1500.0,,,,,,,,,,,"5g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
67,67,12-02-2020 19:50:39,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS saburtalo !! если платите с бтк скидка 10% !!,True,нет,2,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,5gr Cream Cookies Auto marihuana BUDS saburtalo !! esli platite s btk skidka 10% !!
68,68,12-02-2020 19:50:39,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,10,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
69,69,12-02-2020 19:50:39,Tbilisi,cb721d4bca,"5gr WHITE WIDOW марихуана шишки, Оплата BITCOIN -10% Скидка.",True,нет,4,Тбилиси,5 гр,0.0188,12546.0,4903.0,436,199.0,,,,,,,,,,,"5gr WHITE WIDOW marihuana shishki, Oplata BITCOIN -10% Skidka."
70,70,12-02-2020 19:50:39,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,4,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
71,71,12-02-2020 19:50:39,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0189,13807.0,5396.0,480,219.0,,,,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
72,72,12-02-2020 19:50:39,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.018000000000000002,13177.0,5150.0,458,209.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
73,73,12-02-2020 19:50:39,Tbilisi,851e5b91a0,"Jack Herer - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,3,Тбилиси,5 гр,0.018000000000000002,13177.0,5150.0,458,209.0,,,,,,,,,,,"Jack Herer - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
74,74,12-02-2020 19:50:39,Tbilisi,851e5b91a0,"NEW! O.G. Kush - (Only Buds, IMPORT) Шишки(всегда подъезд) 5G (BTC sale 10%)",True,нет,5,Тбилиси,5 гр,0.018000000000000002,13177.0,5150.0,458,209.0,,,,,,,,,,,"NEW! O.G. Kush - (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 5G (BTC sale 10%)"
75,75,12-02-2020 19:50:39,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана SABURTALO! если платите с бтк скидка 10% !!,True,нет,10,Тбилиси,5 гр,0.0237,15762.0,6160.0,548,250.0,,,,,,,,,,,NORTHEN LIGHTS 5 gr marihuana SABURTALO! esli platite s btk skidka 10% !!
76,76,12-02-2020 19:50:39,Tbilisi,ea97036e14,Метамфетамин рацемат 5 г. (MQ),True,нет,19,Тбилиси,5 гр,0.0172,12609.0,4928.0,438,200.0,,,,,,,,,,,Metamfetamin ratsemat 5 g. (MQ)
77,77,12-02-2020 19:50:39,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.1912,140000.0,64421.0,4800,,,,,,,,,,,,reagent 25i nbome. 5gr
78,78,12-02-2020 19:50:39,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2583,189141.0,73920.0,6577,3000.0,,,,,,True,True,,,,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
79,79,12-02-2020 19:50:39,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,8,Тбилиси,5 гр,0.0468,30830.0,12049.0,1072,489.0,,,,,,,,,,,💘✨5g. MDMA ✨💘
80,80,12-02-2020 19:50:39,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,1,Тбилиси,5 гр,0.0172,11348.0,4435.0,395,180.0,,,,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
81,81,12-02-2020 19:50:39,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,8,Тбилиси,10 гр,0.0378,25156.0,9831.0,875,399.0,,,,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
82,82,12-02-2020 19:50:39,Tbilisi,ce030318fd,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,4,Тбилиси,10 гр,0.1722,126094.0,49280.0,4385,2000.0,,,,,,,,,,,"10g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
83,83,12-02-2020 19:50:39,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,5,Тбилиси,10 гр,0.0758,50438.0,19712.0,1754,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
84,84,12-02-2020 19:50:39,Tbilisi,851e5b91a0,"Doctor Jamaica (Only Buds, IMPORT) Шишки(всегда подъезд) 10G (BTC sale 10%) (предзаказ будет сделан очень оперативно)",True,нет,5,Тбилиси,10 гр,0.0344,25156.0,9831.0,875,399.0,,,,,,,,,,,"Doctor Jamaica (Only Buds, IMPORT) Shishki(vsegda pod'ezd) 10G (BTC sale 10%) (predzakaz budet sdelan ochen' operativno)"
85,85,12-02-2020 19:50:39,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2107,140280.0,54824.0,4878,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
86,86,12-02-2020 19:50:39,Tbilisi,dd631c4acf,💘✨10gram MDMA ✨💘,True,нет,10,Тбилиси,10 гр,0.0773,50942.0,19909.0,1771,808.0,,,,,,,,,,,💘✨10gram MDMA ✨💘
87,87,12-02-2020 19:50:39,Tbilisi,dd631c4acf,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️,True,нет,2,Тбилиси,10 гр,0.0286,18851.0,7367.0,656,299.0,,,,,,,,,,,🧚‍♂️🌈️🤩 10 LSD 200ug.🤩🌈️🧚‍♂️
88,88,12-02-2020 19:50:39,Tbilisi,84c8f0bee0,SALE 50%. Шишки 11гр (лсд феминиз),True,1,2,Тбилиси,11 гр,0.0142,9457.0,3696.0,329,150.0,,,,,,,,,,,SALE 50%. Shishki 11gr (lsd feminiz)
89,89,12-02-2020 19:50:39,Tbilisi,c9a56b2b4a,15x Extasy Duracell 223mg MDMA.,True,нет,10,Тбилиси,15 гр,0.043,28371.0,11088.0,987,450.0,,,,,,,,,,,15x Extasy Duracell 223mg MDMA.
90,90,12-02-2020 19:50:39,Tbilisi,ce030318fd,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)",True,нет,8,Тбилиси,20 гр,0.2841,208055.0,81312.0,7235,3300.0,,,,,,,,,,,"20g Crystal Methadone ( New batch, incredibly strong, be careful with dosage)"
91,91,12-02-2020 19:50:39,Tbilisi,64284550d9,25G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,25 гр,0.0545,37828.0,14784.0,1315,600.0,,,,,,,,,,,25G -- HYBRID-> Skidka 5% za BTC
92,92,12-02-2020 19:50:39,Tbilisi,61bec147f3,50 gr 23% THC Amnesia Haze top quality,True,нет,1,Тбилиси,50 гр,0.1033,75656.0,29568.0,2631,1200.0,,,,,,,,,,,50 gr 23% THC Amnesia Haze top quality
93,93,12-02-2020 19:50:39,Tbilisi,64284550d9,50G -- HYBRID-> Скидка 5% за BTC,True,нет,2,Тбилиси,50 гр,0.0818,56742.0,22176.0,1973,900.0,,,,,,,,,,,50G -- HYBRID-> Skidka 5% za BTC
94,94,12-02-2020 19:50:39,Tbilisi,30f48d507d,Hybrid Skunk! 50 gr,True,нет,2,Тбилиси,50 гр,0.09,59895.0,23408.0,2083,950.0,,,,,,,,,,,Hybrid Skunk! 50 gr
95,95,12-02-2020 19:50:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.1894,126094.0,49280.0,4385,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
96,96,12-02-2020 19:50:39,Tbilisi,30f48d507d,Hybrid Skunk! 100 gr,True,нет,1,Тбилиси,100 гр,0.1705,113485.0,44352.0,3946,1800.0,,,,,,,,,,,Hybrid Skunk! 100 gr
97,97,12-02-2020 19:50:39,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2367,157618.0,61600.0,5481,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
98,98,12-02-2020 19:50:39,Tbilisi,ce6827deee,"марки 25i-nbome 2,5mg (100шт)",True,нет,2,Тбилиси,100 гр,0.037000000000000005,27110.0,10595.0,943,430.0,,,,,,,,,,,"marki 25i-nbome 2,5mg (100sht)"
99,99,12-02-2020 19:50:39,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4356,290016.0,113344.0,10085,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
100,100,12-02-2020 19:51:32,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7111,472853.0,184800.0,16443,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
101,101,12-02-2020 19:51:32,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8059,535900.0,209440.0,18635,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
102,102,12-02-2020 19:51:32,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,1,нет,Тбилиси,1 гр,0.0172,12609.0,4928.0,438,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
