,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,₴,Br,ք,$,Saburtalo,Didube,Gldani,Varketili,€,Old Tbilisi (Старый город),Авлобари,desc_en
27,27,13-05-2020 03:37:02,Tbilisi,97d5fcd29b,Suboxene 4mg,,1,нет,Тбилиси,4 гр,0.0057,1485,134,4039,55.0,True,,,,,,,Suboxene 4mg
28,28,13-05-2020 03:37:02,Tbilisi,ad9cb826c6,"5 Grm MDMA , Purity A +++",True,3,нет,Тбилиси,5 гр,0.0332,8640,781,23498,320.0,,,,,,,,"5 Grm MDMA , Purity A +++"
29,29,13-05-2020 03:37:02,Tbilisi,bb1791277e,5gr NORTHEN LIGHTS marijuana LEAVES листя если платите с бтк скидка 10% !!,True,1,нет,Тбилиси,5 гр,0.0064,1593,144,4333,59.0,,,,,,,,5gr NORTHEN LIGHTS marijuana LEAVES listja esli platite s btk skidka 10% !!
30,30,13-05-2020 03:37:02,Tbilisi,c9a56b2b4a,5x Extasy Duracell 223mg MDMA.,True,2,нет,Тбилиси,5 гр,0.0191,4725,427,12851,175.0,,,,,,,,5x Extasy Duracell 223mg MDMA.
31,31,13-05-2020 03:37:02,Tbilisi,2f51af8159,Hybrid Somango Weed 5 g,True,1,нет,Тбилиси,5 гр,0.0178,4455,402,12116,165.0,,,,,,,,Hybrid Somango Weed 5 g
32,32,13-05-2020 03:37:02,Tbilisi,0a8c230fa2,VHQ BEST Cocaine 5g.,True,1,нет,Тбилиси,5 гр,0.1205,31050,2805,84447,1150.0,,,,,,,,VHQ BEST Cocaine 5g.
33,33,13-05-2020 03:37:02,Tbilisi,7cab566931,GEORGIAN MARIJUANA 6-GRAM,True,2,нет,Тбилиси,6 гр,0.0088,2430,220,6609,90.0,,,,,,,,GEORGIAN MARIJUANA 6-GRAM
34,34,13-05-2020 03:37:02,Tbilisi,e56bb6ca93,10 gr marijuana buds. -indica- (КЛАДИ НА МАГНИТАХ),,15,нет,Тбилиси,10 гр,0.0215,5373,485,14613,199.0,,True,,True,,,,10 gr marijuana buds. -indica- (KLADI NA MAGNITAH)
35,35,13-05-2020 03:37:02,Tbilisi,c225d2f67d,гашиш евро 10г,True,2,нет,Тбилиси,10 гр,0.0415,10800,976,29373,400.0,,,,,,,,gashish evro 10g
36,36,13-05-2020 03:37:41,Tbilisi,c225d2f67d,Гашиш Евро 20гр,True,1,нет,Тбилиси,20 гр,0.0808,20979,1895,57057,777.0,,,,,,,,Gashish Evro 20gr
37,37,13-05-2020 03:37:41,Tbilisi,e56bb6ca93,50 гр Марихуана шишки. ИНДИКА,,1,нет,Тбилиси,50 гр,0.092,22923,2071,62344,849.0,True,,,,,,,50 gr Marihuana shishki. INDIKA
38,38,13-05-2020 03:37:41,Tbilisi,ea97036e14,Метамферамин рацемат 60 г (мини-опт),True,1,нет,Тбилиси,60 гр,0.1971,54000,4878,146865,2000.0,,,,,,,,Metamferamin ratsemat 60 g (mini-opt)
39,39,13-05-2020 03:37:41,Tbilisi,54915c4374,Бупренорфин (аналог суботекса) 0.1 гр.,True,нет,10,Тбилиси,0.1 гр,0.0053,1463,132,3972,,,,,,50.0,,,Buprenorfin (analog suboteksa) 0.1 gr.
40,40,13-05-2020 03:37:41,Tbilisi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм (предзаказ) скидка 10%",True,нет,10,Тбилиси,0.5 гр,0.0081,2025,183,5507,75.0,,,,,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm (predzakaz) skidka 10%"
41,41,13-05-2020 03:37:41,Tbilisi,89f7212915,"""Kief"" Weed trichomes 1G",True,нет,5,Тбилиси,1 гр,0.0173,4320,390,11749,160.0,,,,,,,,"""Kief"" Weed trichomes 1G"
42,42,13-05-2020 03:37:41,Tbilisi,dd631c4acf,✨✨2gram. MDMA✨✨,True,нет,2,Тбилиси,2 гр,0.023,5670,512,15421,210.0,,,,,,,,✨✨2gram. MDMA✨✨
43,43,13-05-2020 03:37:41,Tbilisi,dd631c4acf,❄❄2g HQ COCAINE❄❄,True,нет,4,Тбилиси,2 гр,0.0404,9963,900,27097,369.0,,,,,,,,❄❄2g HQ COCAINE❄❄
44,44,13-05-2020 03:37:41,Tbilisi,dd631c4acf,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄,True,нет,8,Тбилиси,3 гр,0.0634,15633,1412,42517,579.0,,,,,,,,❄☃️❄NEW! 3g. HQ COCAINE❄☃️❄
45,45,13-05-2020 03:37:41,Tbilisi,7c395c455d,10+1 ecstasy RED MASERATI 300mg md екстази топ !! скидка за бтк 4g,True,нет,7,Тбилиси,4 гр,0.0434,10800,976,29373,400.0,,,,,,,,10+1 ecstasy RED MASERATI 300mg md ekstazi top !! skidka za btk 4g
46,46,13-05-2020 03:37:41,Tbilisi,aeb8abccb9,✿ 4gr Hybrid Weed Indica Buds VHQ ❤,,нет,2,Тбилиси,4 гр,0.0152,3780,341,10281,140.0,True,,,,,,,✿ 4gr Hybrid Weed Indica Buds VHQ ❤
47,47,13-05-2020 03:37:41,Tbilisi,4a91350669,5 MDMA VHQ Кристаллы высокого качества импорт США purity 95%,True,нет,5,Тбилиси,5 гр,0.0596,14850,1342,40388,550.0,,,,,,,,5 MDMA VHQ Kristally vysokogo kachestva import SShA purity 95%
48,48,13-05-2020 03:37:41,Tbilisi,bb1791277e,"5 gr Durban Poison марихуана BUDS 23% thc , sativa , если платите с бтк скидка 10% !! 235 $",True,нет,10,Тбилиси,5 гр,0.0255,6345,573,17257,235.0,,,,,,,,"5 gr Durban Poison marihuana BUDS 23% thc , sativa , esli platite s btk skidka 10% !! 235 $"
49,49,13-05-2020 03:37:41,Tbilisi,bb1791277e,5 gr GORILLA GLUE марихуана BUDS если платите с бтк скидка 1%,True,нет,7,Тбилиси,5 гр,0.026000000000000002,6480,585,17624,240.0,,,,,,,,5 gr GORILLA GLUE marihuana BUDS esli platite s btk skidka 1%
50,50,13-05-2020 03:37:41,Tbilisi,cb721d4bca,5 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,5 гр,0.0249,6210,561,16890,230.0,,,,,,,,5 gr top buds white widow wishki THC 25% VHQ
51,51,13-05-2020 03:37:41,Tbilisi,cb721d4bca,5 gr Шишки “OG KUSH VHQ”,True,нет,3,Тбилиси,5 гр,0.0172,4293,388,11676,159.0,,,,,,,,5 gr Shishki “OG KUSH VHQ”
52,52,13-05-2020 03:37:41,Tbilisi,bb1791277e,5gr Cream Cookies Auto марихуана BUDS если платите с бтк скидка 10% !!,True,нет,5,Тбилиси,5 гр,0.026000000000000002,6480,585,17624,240.0,,,,,,,,5gr Cream Cookies Auto marihuana BUDS esli platite s btk skidka 10% !!
53,53,13-05-2020 03:37:41,Tbilisi,cb721d4bca,"5gr Sour Diesel Haze марихуана шишки , Оплата BITCOIN -10% Скидка.",True,нет,9,Тбилиси,5 гр,0.026000000000000002,6480,585,17624,240.0,,,,,,,,"5gr Sour Diesel Haze marihuana shishki , Oplata BITCOIN -10% Skidka."
54,54,13-05-2020 03:37:41,Tbilisi,bb1791277e,Amnesia Haze Auto марихуана 5 GR BUDS imported !!,True,нет,6,Тбилиси,5 гр,0.0249,6210,561,16890,230.0,,,,,,,,Amnesia Haze Auto marihuana 5 GR BUDS imported !!
55,55,13-05-2020 03:37:41,Tbilisi,1dfc50c91e,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%",True,нет,2,Тбилиси,5 гр,0.0216,5913,534,16082,219.0,,,,,,,,"Black Domina, MARIJUANA BUDS 5G, BTC SALE 10%"
56,56,13-05-2020 03:37:41,Tbilisi,bb1791277e,NORTHEN LIGHTS 5 gr марихуана если платите с бтк скидка 10% !!,True,нет,4,Тбилиси,5 гр,0.0255,6345,573,17257,235.0,,,,,,,,NORTHEN LIGHTS 5 gr marihuana esli platite s btk skidka 10% !!
57,57,13-05-2020 03:37:41,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 5 Gr,True,нет,1,Тбилиси,5 гр,0.0173,4320,390,11749,160.0,,,,,,,,VHQ Jamaican Dream 19% Thc 5 Gr
58,58,13-05-2020 03:37:41,Tbilisi,16be2c8499,реагент 25i nbome. 5гр,True,нет,2,Тбилиси,5 гр,0.255,87429,6307,190000,,,,,,,,,reagent 25i nbome. 5gr
59,59,13-05-2020 03:37:41,Tbilisi,16be2c8499,реагент 25i nbome. марочный реагент. 5 грамм. скидка при оплате биткойн 10%,,нет,2,Тбилиси,5 гр,0.2956,81000,7318,220298,3000.0,,,,,,True,True,reagent 25i nbome. marochnyj reagent. 5 gramm. skidka pri oplate bitkojn 10%
60,60,13-05-2020 03:37:41,Tbilisi,dd631c4acf,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄,True,нет,9,Тбилиси,5 гр,0.105,25893,2339,70422,959.0,,,,,,,,❄☃️☃️❄5g. HQ coco Best OFFER❄☃️☃️❄
61,61,13-05-2020 03:37:41,Tbilisi,dd631c4acf,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉,True,нет,5,Тбилиси,5 гр,0.0208,5130,463,13952,190.0,,,,,,,,🎉🚲🚲🚲 5. Pacco Rabanne 300mdma ecstasy 🚲🚲🚲🎉
62,62,13-05-2020 03:37:41,Tbilisi,dd631c4acf,💘✨5g. MDMA ✨💘,True,нет,5,Тбилиси,5 гр,0.0535,13203,1193,35909,489.0,,,,,,,,💘✨5g. MDMA ✨💘
63,63,13-05-2020 03:37:41,Tbilisi,dd631c4acf,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️,True,нет,2,Тбилиси,5 гр,0.0207,5103,461,13879,189.0,,,,,,,,🧚‍♂️🌈️🌈️🤩 5 LSD 200ug.🤩🌈️🌈️🧚‍♂️
64,64,13-05-2020 03:37:41,Tbilisi,54915c4374,"""MDN-BooooMA"" - Марки 5 шт. + МДМА 0.5",True,нет,7,Тбилиси,5.5 гр,0.0099,2700,244,7343,100.0,,,,,,,,"""MDN-BooooMA"" - Marki 5 sht. + MDMA 0.5"
65,65,13-05-2020 03:37:41,Tbilisi,54915c4374,"""Джокер экспрес"" марки нбооом 8 шт",True,нет,6,Тбилиси,8 гр,0.0087,2160,195,5875,80.0,,,,,,,,"""Dzhoker ekspres"" marki nbooom 8 sht"
66,66,13-05-2020 03:37:41,Tbilisi,7c395c455d,10 gr mdma Кристаллы очен силни импорт с европи,True,нет,1,Тбилиси,10 гр,0.0976,24300,2195,66089,900.0,,,,,,,,10 gr mdma Kristally ochen silni import s evropi
67,67,13-05-2020 03:37:41,Tbilisi,cb721d4bca,10 gr top buds white widow wишки THC 25% VHQ,True,нет,10,Тбилиси,10 гр,0.0434,10800,976,29373,400.0,,,,,,,,10 gr top buds white widow wishki THC 25% VHQ
68,68,13-05-2020 03:37:41,Tbilisi,4a91350669,10 gr гашиш VHQ gorilla glue hash тгк 28 %,True,нет,3,Тбилиси,10 гр,0.0759,18900,1707,51403,700.0,,,,,,,,10 gr gashish VHQ gorilla glue hash tgk 28 %
69,69,13-05-2020 03:37:41,Tbilisi,bb1791277e,"10 gr сжатая марихуана GORILLA GLUE шишки !! BUDS , btc sale 5%",True,нет,5,Тбилиси,10 гр,0.0455,11340,1024,30842,420.0,,,,,,,,"10 gr szhataja marihuana GORILLA GLUE shishki !! BUDS , btc sale 5%"
70,70,13-05-2020 03:38:21,Tbilisi,89f7212915,10G Hybrid Marijuana Leafs,True,нет,39,Тбилиси,10 гр,0.0108,2700,244,7343,100.0,,,,,,,,10G Hybrid Marijuana Leafs
71,71,13-05-2020 03:38:21,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,4,Тбилиси,10 гр,0.0864,21600,1951,58746,800.0,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
72,72,13-05-2020 03:38:21,Tbilisi,52fe6d0af9,VHQ Jamaican Dream 19% Thc 10 Gr,True,нет,1,Тбилиси,10 гр,0.0313,7830,707,21295,290.0,,,,,,,,VHQ Jamaican Dream 19% Thc 10 Gr
73,73,13-05-2020 03:38:21,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2404,60075,5427,163388,2225.0,,,,,,,,Amfetamin [White] [Import] 10G
74,74,13-05-2020 03:38:21,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,5,Тбилиси,10 гр,0.1701,42093,3803,114481,1559.0,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
75,75,13-05-2020 03:38:21,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,10,Тбилиси,10 гр,0.0403,9963,900,27097,369.0,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
76,76,13-05-2020 03:38:21,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5457,135000,12196,367163,5000.0,,,,,,,,METADON - 20 G.
77,77,13-05-2020 03:38:21,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0654,16173,1461,43986,599.0,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
78,78,13-05-2020 03:38:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 50шт. вес таблетки 450mg,True,нет,1,Тбилиси,50 гр,0.1189,29700,2683,80776,1100.0,,,,,,,,Extasy GUCCI 50sht. ves tabletki 450mg
79,79,13-05-2020 03:38:21,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2593,64800,5854,176238,2400.0,,,,,,,,100 gr marijuana buds
80,80,13-05-2020 03:38:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2161,54000,4878,146865,2000.0,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
81,81,13-05-2020 03:38:21,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.2701,67500,6098,183582,2500.0,,,,,,,,Marihuana [Shishki] [Gali] 100G
82,82,13-05-2020 03:38:21,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6375,159300,14391,433252,5900.0,,,,,,,,180 gr marihuana persoalno
83,83,13-05-2020 03:38:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.49700000000000005,124200,11220,337790,4600.0,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
84,84,13-05-2020 03:38:21,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.8104,202500,18294,550745,7500.0,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
85,85,13-05-2020 03:38:21,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.9185,229500,20733,624177,8500.0,,,,,,,,10000sht marki 25i-nbome. predoplata
86,86,13-05-2020 03:38:21,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0196,5400,488,14687,200.0,,,,,,,,KURYER..500RUB.+BONUS
87,87,13-05-2020 03:38:21,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.0216,5400,488,14687,200.0,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
88,88,13-05-2020 03:38:21,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.027000000000000003,6750,610,18358,250.0,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
89,89,13-05-2020 03:38:21,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.6355,405000,36588,1101489,15000.0,,,,,,,,Vakansija optovogo kur'era na mef
