,Unnamed: 0,time_stamp,region,sell_code,description,Saburtalo,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Тбилиси,Gldani,€,Old Tbilisi (Старый город),Авлобари,Varketili,Vake,Центр,Батуми,desc_en
47,47,31-07-2020 01:15:40,Tbilisi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,нет,5,Тбилиси,10 гр,0.0467,37951,14432,1250,,True,,440.0,,,,,,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
48,48,31-07-2020 01:15:40,Tbilisi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,5,Тбилиси,11 гр,0.0414,33639,12792,1108,,True,,390.0,,,,,,,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
49,49,31-07-2020 01:15:40,Tbilisi,3c9bc6f8e9,"Hindu Kush (photoperiod, regular) 15 гр",,нет,1,Тбилиси,15 гр,0.0528,47686,18135,1572,650.0,True,,,,,,,,,"Hindu Kush (photoperiod, regular) 15 gr"
50,50,31-07-2020 01:15:40,Tbilisi,cb721d4bca,100 gr marijuana buds,,нет,1,Тбилиси,100 гр,0.2145,176072,66960,5803,2400.0,True,,,,,,,,,100 gr marijuana buds
51,51,31-07-2020 01:15:40,Tbilisi,8ddca45a78,"Weed cooking butter 100gr, Hight THC",,нет,2,Тбилиси,100 гр,0.0178,14599,5552,481,199.0,True,,,,,,,,,"Weed cooking butter 100gr, Hight THC"
52,52,31-07-2020 01:15:40,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,,1,1,Тбилиси,100 гр,0.2234,183408,69750,6045,2500.0,True,,,,,,,,,Marihuana [Shishki] [Gali] 100G
53,53,31-07-2020 01:15:40,Tbilisi,69672fee0d,180 gr марихуана персоално,,нет,1,Тбилиси,180 гр,0.5273,432843,164610,14266,5900.0,True,,,,,,,,,180 gr marihuana persoalno
54,54,31-07-2020 01:15:40,Tbilisi,16be2c8499,500 шт. марки 25i nbome. готовый клад в Тбилиси.,True,нет,3,Тбилиси,500 гр,0.0894,73363,27900,2418,1000.0,,,,,True,True,,,,500 sht. marki 25i nbome. gotovyj klad v Tbilisi.
55,55,31-07-2020 01:15:40,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,,нет,3,Тбилиси,10000 гр,0.7597,623588,237150,20553,8500.0,True,,,,,,,,,10000sht marki 25i-nbome. predoplata
56,56,31-07-2020 01:15:40,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,,2,нет,Тбилиси,1 гр,0.0163,14673,5580,484,200.0,True,,,,,,,,,KURYER..500RUB.+BONUS
57,57,31-07-2020 01:15:40,Tbilisi,e771f4c371,Работа курьер в Тбилиси 15 лари на клад толка марихуана,True,1,нет,Тбилиси,1 гр,0.0223,18341,6975,605,250.0,,,,,,,,,,Rabota kur'er v Tbilisi 15 lari na klad tolka marihuana
58,58,31-07-2020 01:15:40,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",,1,нет,Тбилиси,1 гр,0.0223,18341,6975,605,250.0,True,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
59,59,31-07-2020 01:15:40,Tbilisi,f374062dcd,Курьер Фасовщик залог обязательно 600$ 5гр,,1,нет,Тбилиси,5 гр,0.0488,44018,16740,1451,600.0,True,,,,,,,,,Kur'er Fasovschik zalog objazatel'no 600$ 5gr
60,60,31-07-2020 01:15:40,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",,нет,1,Тбилиси,1 гр,0.0179,14673,5580,484,200.0,True,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
61,61,31-07-2020 01:15:40,Tbilisi,54915c4374,Работа на марки (курьер),,нет,3,Тбилиси,1 гр,0.0223,18341,6975,605,250.0,True,,,,,,,,,Rabota na marki (kur'er)
62,62,31-07-2020 01:15:40,Tbilisi,52fe6d0af9,рик и морти ишит куриера зп от 2000 $ в месец залог 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$,,нет,1,Тбилиси,5 гр,0.0447,36682,13950,1209,500.0,True,,,,,,,,,rik i morti ishit kuriera zp ot 2000 $ v mesets zalog 500$ | Rick And Morty Need DG Sallary from 2000$ prepay 500$
63,63,31-07-2020 01:15:40,Tbilisi,ccc85b93d8,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | работат куриерам ЗП 5-20$ за адресс залог 500$,,нет,1,Тбилиси,10 гр,0.0447,36682,13950,1209,500.0,True,,,,,,,,,HyperBoy Need Delivery Guy 5-20$ For Adrss PrePay 500$ | rabotat kurieram ZP 5-20$ za adress zalog 500$
64,64,31-07-2020 01:15:40,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Тбилиси,400 гр,1.3529,1100450,418500,36270,15000.0,True,,,,,,,,,Vakansija optovogo kur'era na mef
65,65,31-07-2020 01:15:40,Tbilisi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,3,Тбилиси,1000 гр,0.0447,36682,13950,1209,500.0,,,,True,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
66,66,31-07-2020 01:18:48,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️",,8,нет,Батуми,0.2 гр,0.0127,10264,3903,338,,,,119.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.2g 🔋💎🧞‍♂️"
67,67,31-07-2020 01:18:48,Batumi,d30ed85c42,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2шт (0.4мг)!💉⭕⚜,,4,нет,Батуми,0.4 гр,0.0095,7677,2919,253,,,,89.0,,,,,True,,⚜⭕💉SUBUTEX™️(Limited Edition) Original for EU & UK 1/2sht (0.4mg)!💉⭕⚜
68,68,31-07-2020 01:18:48,Batumi,d30ed85c42,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️",,9,нет,Батуми,0.4 гр,0.0244,19752,7511,651,,,,229.0,,,,,True,,"🧞‍♂️💎🔋Baby Blue Crystal, Best Methamphetamine Ever, 0.4g🔋💎🧞‍♂️"
69,69,31-07-2020 01:18:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️,,12,нет,Батуми,0.5 гр,0.0037,3019,1148,99,,,,35.0,,,,,True,,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 0.5g 🍭☄🧞‍♀️
70,70,31-07-2020 01:18:48,Batumi,3b3ba4f5a5,Мелкие шишки (Indica) 2г,,12,нет,Батуми,2 гр,0.003,2421,921,80,33.0,,,,,,,,,True,Melkie shishki (Indica) 2g
71,71,31-07-2020 01:18:48,Batumi,d30ed85c42,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️,,1,4,Батуми,10 гр,0.0468,37951,14432,1250,,,,440.0,,,,,True,True,🧞‍♂️☄🍭 RQS©️ Euphoria™️ Regular(Photo) 26% THC®️ 10g 🍭☄🧞‍♀️
72,72,31-07-2020 01:18:48,Batumi,f8a875c191,METADON - 0.30 - SALE,,нет,5,Батуми,0.3 гр,0.0272,22009,8370,725,300.0,,,,,,,,,True,METADON - 0.30 - SALE
73,73,31-07-2020 01:18:48,Batumi,d30ed85c42,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀",,нет,2,Батуми,1 гр,0.033,26739,10168,881,,,,310.0,,,,,,True,"🚀🌡💢 Italian Heroine™️ ""777"" VHQ 1g 💢🌡🚀"
74,74,31-07-2020 01:18:48,Batumi,d30ed85c42,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️,,нет,4,Батуми,11 гр,0.0415,33639,12792,1108,,,,390.0,,,,,,True,🧞‍♂️🌈🌈🌈LSD 220ug from California 10+1pc(for gift)🌈🌈🌈🧞‍♀️
75,75,31-07-2020 01:18:48,Batumi,d30ed85c42,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️",,нет,1,Батуми,11 гр,0.0424,34415,13087,1134,,,,399.0,,,,,,True,"🧞‍♂️🔮🎭 XTC™️ ""1 Million Paco Rabanne®️"" 300mg MDMA©️ 10+1pc 🎭🔮🧞‍♀️"
76,76,31-07-2020 01:18:48,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0082,7336,2790,242,100.0,,,,,,,,,True,kur'er v Batumi
77,77,31-07-2020 01:18:48,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0204,18341,6975,605,250.0,,,,,,,,,True,Rabota kladmenom. Tol'ko shishki.
78,78,31-07-2020 01:18:48,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0204,18341,6975,605,250.0,,,,,,,,,True,Ischu kur'era v Gruzii!
79,79,31-07-2020 01:18:48,Batumi,3b3ba4f5a5,Курьер Батуми на марихуану,,нет,1,Батуми,1 гр,0.0179,14673,5580,484,200.0,,,,,,,,,True,Kur'er Batumi na marihuanu
80,80,31-07-2020 01:18:48,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.3573,1100450,418500,36270,15000.0,,,,,,,,,True,Vakansija optovogo kur'era na mef
81,81,31-07-2020 01:18:48,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 20$ за клад, залог 250$",,нет,2,Батуми,1000 гр,0.0448,36682,13950,1209,500.0,,,,,,,,True,,"Vakansija rabota kur'erom na marki! Oplata ot 20$ za klad, zalog 250$"
