,Unnamed: 0,time_stamp,region,sell_code,description,Тбилиси,готовых,предзаказ,город,вес,BTC,ք,₴,Br,$,Saburtalo,Didube,Vazisubani,Дигоми,Old Tbilisi (Старый город),Авлобари,Центр,Батуми,€,Кутаиси,desc_en
50,50,31-05-2020 11:15:13,Tbilisi,cb721d4bca,Afghan Mazar-i-Sharif Hash топ товар !!! 10 гр,True,нет,3,Тбилиси,10 гр,0.0838,56602,21640,1928,800.0,,,,,,,,,,,Afghan Mazar-i-Sharif Hash top tovar !!! 10 gr
51,51,31-05-2020 11:15:13,Tbilisi,35c7cbba1f,Амфетамин [White] [Import] 10G,True,нет,1,Тбилиси,10 гр,0.2332,157423,60186,5362,2225.0,,,,,,,,,,,Amfetamin [White] [Import] 10G
52,52,31-05-2020 11:15:13,Tbilisi,dd631c4acf,☃️❄NEW 10g.COCAINE❄☃️,True,нет,2,Тбилиси,10 гр,0.165,110302,42171,3757,1559.0,,,,,,,,,,,☃️❄NEW 10g.COCAINE❄☃️
53,53,31-05-2020 11:15:13,Tbilisi,dd631c4acf,🚲10. Pacco Rabanne 300mdma ecstasy 🚲,True,нет,9,Тбилиси,10 гр,0.0391,26107,9981,889,369.0,,,,,,,,,,,🚲10. Pacco Rabanne 300mdma ecstasy 🚲
54,54,31-05-2020 11:15:13,Tbilisi,f8a875c191,METADON - 20 G.,True,нет,1,Тбилиси,20 гр,0.5292,353760,135250,12050,5000.0,,,,,,,,,,,METADON - 20 G.
55,55,31-05-2020 11:15:13,Tbilisi,dd631c4acf,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲,True,нет,9,Тбилиси,20 гр,0.0634,42380,16203,1444,599.0,,,,,,,,,,,🚲🚲 20. Pacco Rabanne 300mdma ecstasy 🚲🚲
56,56,31-05-2020 11:15:13,Tbilisi,0dec0e1c48,50 gr georgian weed. Package on magnet,True,нет,6,Тбилиси,50 гр,0.1361,91907,35138,3131,1299.0,,,,,,,,,,,50 gr georgian weed. Package on magnet
57,57,31-05-2020 11:15:13,Tbilisi,0dec0e1c48,100 gr georgian weed. Package on magnet,True,нет,5,Тбилиси,100 гр,0.2619,176809,67598,6023,2499.0,,,,,,,,,,,100 gr georgian weed. Package on magnet
58,58,31-05-2020 11:15:13,Tbilisi,cb721d4bca,100 gr marijuana buds,True,нет,1,Тбилиси,100 гр,0.2515,169805,64920,5784,2400.0,,,,,,,,,,,100 gr marijuana buds
59,59,31-05-2020 11:15:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 100шт. вес таблетки 450mg,True,нет,1,Тбилиси,100 гр,0.2096,141504,54100,4820,2000.0,,,,,,,,,,,Extasy GUCCI 100sht. ves tabletki 450mg
60,60,31-05-2020 11:15:13,Tbilisi,35c7cbba1f,Марихуана [Шишки] [Гали] 100G,True,1,1,Тбилиси,100 гр,0.262,176880,67625,6025,2500.0,,,,,,,,,,,Marihuana [Shishki] [Gali] 100G
61,61,31-05-2020 11:15:13,Tbilisi,69672fee0d,180 gr марихуана персоално,True,нет,1,Тбилиси,180 гр,0.6183,417437,159595,14219,5900.0,,,,,,,,,,,180 gr marihuana persoalno
62,62,31-05-2020 11:15:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 250шт. вес таблетки 450mg,True,нет,1,Тбилиси,250 гр,0.4821,325459,124430,11086,4600.0,,,,,,,,,,,Extasy GUCCI 250sht. ves tabletki 450mg
63,63,31-05-2020 11:15:13,Tbilisi,ef3dc4de6c,Extasy GUCCI 500шт. вес таблетки 450mg,True,нет,1,Тбилиси,500 гр,0.7859999999999999,530640,202875,18075,7500.0,,,,,,,,,,,Extasy GUCCI 500sht. ves tabletki 450mg
64,64,31-05-2020 11:15:13,Tbilisi,16be2c8499,10000шт марки 25i-nbome. предоплата,True,нет,3,Тбилиси,10000 гр,0.8908,601392,229925,20485,8500.0,,,,,,,,,,,10000sht marki 25i-nbome. predoplata
65,65,31-05-2020 11:15:13,Tbilisi,f9eb3bf4d6,KURYER..500RUB.+BONUS,True,2,нет,Тбилиси,1 гр,0.0191,14150,5410,482,200.0,,,,,,,,,,,KURYER..500RUB.+BONUS
66,66,31-05-2020 11:15:13,Tbilisi,cb721d4bca,"А ишим Курьера толка для марихуани иногда гаш, в месяц 3000-4000 $",True,нет,2,Тбилиси,1 гр,0.021,14150,5410,482,200.0,,,,,,,,,,,"A ishim Kur'era tolka dlja marihuani inogda gash, v mesjats 3000-4000 $"
67,67,31-05-2020 11:15:13,Tbilisi,21de5577be,"Работа курьером в Тбилиси, ЗП от 1200$ в месяц, работа только с марихуаной, залог от 250$",True,нет,1,Тбилиси,1 гр,0.0262,17688,6763,603,250.0,,,,,,,,,,,"Rabota kur'erom v Tbilisi, ZP ot 1200$ v mesjats, rabota tol'ko s marihuanoj, zalog ot 250$"
68,68,31-05-2020 11:15:13,Tbilisi,ea97036e14,Вакансия оптового курьера на меф,True,нет,1,Тбилиси,400 гр,1.5862,1061280,405750,36150,15000.0,,,,,,,,,,,Vakansija optovogo kur'era na mef
69,69,31-05-2020 11:16:38,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.25 гр",,2,нет,Батуми,0.25 гр,0.0053,3538,1353,121,50.0,,,,,,,True,,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.25 gr"
70,70,31-05-2020 11:16:38,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 2г,,1,нет,Батуми,2 гр,0.01,6721,2570,229,95.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 2g
71,71,31-05-2020 11:16:38,Batumi,3ee37c89bb,[100g] SPAIN HASH,,1,нет,Батуми,105 гр,0.2314,155654,59510,5302,2200.0,,,,,,,,True,,,[100g] SPAIN HASH
72,72,31-05-2020 11:16:38,Batumi,54915c4374,"MDMA чистоган!!! ""Цуунаммииии удовольсвия""!!!! 0.5 грамм",,нет,1,Батуми,0.5 гр,0.0089,6014,2299,205,85.0,,,,,,,,True,,,"MDMA chistogan!!! ""Tsuunammiiii udovol'svija""!!!! 0.5 gramm"
73,73,31-05-2020 11:16:38,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 5г,,нет,3,Батуми,5 гр,0.0237,16273,6222,554,230.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 5g
74,74,31-05-2020 11:16:38,Batumi,3b3ba4f5a5,Мощные шишки NORTHERN LIGHTS (INDICA) 10г,,нет,3,Батуми,10 гр,0.0433,29716,11361,1012,420.0,,,,,,,,True,,,Moschnye shishki NORTHERN LIGHTS (INDICA) 10g
75,75,31-05-2020 11:16:38,Batumi,321e2f622a,❥ Твой! ГАШИШ Марокко 500 грамм ♥,,нет,1,Батуми,500 гр,0.1679,112990,51992,3853,,,,,,,,,True,,,❥ Tvoj! GAShISh Marokko 500 gramm ♥
76,76,31-05-2020 11:16:38,Batumi,321e2f622a,❥Твой! ГАШИШ Марокко 1000 грамм ♥,,нет,1,Батуми,1000 гр,0.2659,178900,82321,6100,,,,,,,,,True,,,❥Tvoj! GAShISh Marokko 1000 gramm ♥
77,77,31-05-2020 11:16:38,Batumi,22610cd7c4,курьер в Батуми,,1,нет,Батуми,1 гр,0.0096,7075,2705,241,100.0,,,,,,,,True,,,kur'er v Batumi
78,78,31-05-2020 11:16:38,Batumi,012f23b5ea,Работа кладмэном. Только шишки.,,1,нет,Батуми,5 гр,0.0239,17688,6763,603,250.0,,,,,,,,True,,,Rabota kladmenom. Tol'ko shishki.
79,79,31-05-2020 11:16:38,Batumi,ce6827deee,Ищу курьера в Грузии!,,1,нет,Батуми,50 гр,0.0239,17688,6763,603,250.0,,,,,,,,True,,,Ischu kur'era v Gruzii!
80,80,31-05-2020 11:16:38,Batumi,54915c4374,Работа на марки (курьер),,нет,1,Батуми,25 гр,0.0292,19637,7488,669,,,,,,,,,True,250.0,,Rabota na marki (kur'er)
81,81,31-05-2020 11:16:38,Batumi,ea97036e14,Вакансия оптового курьера на меф,,нет,1,Батуми,400 гр,1.5917,1061280,405750,36150,15000.0,,,,,,,,True,,,Vakansija optovogo kur'era na mef
82,82,31-05-2020 11:16:38,Batumi,16be2c8499,"Вакансия работа курьером на марки! Оплата от 50$ за клад, залог 500$",,нет,2,Батуми,1000 гр,0.0526,35376,13525,1205,500.0,,,,,,,True,True,,,"Vakansija rabota kur'erom na marki! Oplata ot 50$ za klad, zalog 500$"
83,83,31-05-2020 11:18:04,Kutaisi,be97026d1d,Cocaine 2g !!! BTC SALE 5%!!!!,,4,нет,Кутаиси,2 гр,0.0318,21862,8358,745,309.0,,,,,,,,,,True,Cocaine 2g !!! BTC SALE 5%!!!!
84,84,31-05-2020 11:18:04,Kutaisi,be97026d1d,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!,,3,нет,Кутаиси,3 гр,0.0201,13797,5275,470,195.0,,,,,,,,,,True,!!!SALE!!! MDMA from Europe!!! 3g !!! BTC SALE 5%!!!! !!!SALE!!!
85,85,31-05-2020 11:18:04,Kutaisi,54915c4374,Работа на марки (курьер),,нет,1,Кутаиси,25 гр,0.0292,19637,7488,669,,,,,,,,,,250.0,True,Rabota na marki (kur'er)
